Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,Cardano Feed ($ADA),"Cardano $1 ADA Price Wave Gains Momentum as Key Indicator Turns Bullish 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/eLY2PUUuzv",Fri Aug 02 20:47:29 +0000 2024,17,142,cardano ada price wave gains momentum as key indicator turns bullish cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
2,Cardano Feed ($ADA),"Cardano Goes Toe-To-Toe With Ethereum As Whales Scoop Up 120 Million ADA 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/XjLKK6qIGv",Fri Aug 02 16:47:40 +0000 2024,32,206,cardano goes toetotoe ethereum as whales scoop up million ada cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
3,Latina Cardano Girl ✨,"I wish the bull run could as fast as this BMW #ADA 

Motomami #CardanoGirls 🔥 https://t.co/r5bXU9Qn9z",Fri Aug 02 11:50:58 +0000 2024,7,140,wish bull run could as fast as bmw ada motomami cardanogirls
4,The ₳ltcoin Oracle,"#BTC the shield, #ADA the sword",Thu Aug 01 23:10:27 +0000 2024,8,101,btc shield ada sword
5,Trend Rider,"🔄 ADA at a critical level in the mid-term. 

RSI crossovers are great for understanding price direction; after a bullish cross, we're testing support. 

🤞 $For ADA to rebound in the coming weeks, it's crucial we bounce from here. 

I'll keep you updated!

 #ADA #Cryptocurrency https://t.co/CYcuRCbNVj",Thu Aug 01 14:10:50 +0000 2024,8,120,ada critical level midterm rsi crossovers are great understanding price direction after bullish cross were testing support ada rebound coming weeks its crucial we bounce from here ill keep updated ada cryptocurrency
6,Cardano Feed ($ADA),"Charles Hoskinson on the Defensive: Will Chang Revolutionize Cardano? 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/adEbOXSqAA",Thu Aug 01 09:12:29 +0000 2024,19,150,charles hoskinson defensive will chang revolutionize cardano cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
7,Cardano Feed ($ADA),"Analyst Foresees 2,257% Cardano (ADA) Price Rally. Here's the Catalyst 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/nFFDIGPjhX",Wed Jul 31 21:02:22 +0000 2024,31,179,analyst foresees cardano ada price rally heres catalyst cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
8,Lidl.Meld 🔴 🇳🇱,"🚀 Excited to announce the first-ever on-ramp with @onMELD ! (Internally)

Get ready for seamless crypto transactions and innovative financial solutions. 🌐💸 #Avalanche #USDC #ADA https://t.co/9iP9EVja4i",Wed Jul 31 16:40:24 +0000 2024,29,128,excited announce firstever onramp internally get ready seamless crypto transactions innovative financial solutions avalanche usdc ada
9,Cardano Hieronymus,"Cognitive dissonance now more than ever: #ADA price can't keep up 0.4$ resistance while #Cardano founders sign deals with Argentina. How long will markets be blind, dumb and deaf?",Tue Jul 30 18:10:13 +0000 2024,14,175,cognitive dissonance now more than ever ada price cant keep up resistance while cardano founders sign deals argentina how long will markets be blind dumb deaf
10,Cardano Feed ($ADA),"SEC's Latest Update: Solana and Cardano No Longer Classified as Securities 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/q245PU0jA3",Tue Jul 30 14:27:57 +0000 2024,35,286,secs latest update solana cardano no longer classified as securities cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
11,Cardano Hieronymus,"Good. Now, #ADA was at 0.8$ when that deliberate politic attack was issued. Let's heal now.",Tue Jul 30 14:17:18 +0000 2024,15,147,good now ada was when deliberate politic attack was issued lets heal now
12,Cardano Feed ($ADA),"SEC Lawsuit Amendment Boosts Solana and Cardano 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/RkRFjEVef9",Tue Jul 30 13:22:47 +0000 2024,27,183,sec lawsuit amendment boosts solana cardano cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
13,Cardano Feed ($ADA),"SEC pauses securities allegations against Solana, Cardano and Polygon in Binance lawsuit 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/N8opOfUvIr",Tue Jul 30 11:17:06 +0000 2024,49,241,sec pauses securities allegations against solana cardano polygon binance lawsuit cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
14,Cardano Feed ($ADA),"SEC Adjusts Binance Lawsuit, Removes Solana, Others From List of Securities 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/qBBwSUQhze",Tue Jul 30 10:17:35 +0000 2024,19,123,sec adjusts binance lawsuit removes solana others from list securities cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
15,Clam Digger 🍬👨‍🚀💿,"There’s nothing quite like claiming 10,000 $IAG through DripDropz from LSPO rewards.  
#ADA",Mon Jul 29 22:49:43 +0000 2024,4,62,theres nothing quite like claiming iag through dripdropz from lspo rewards ada
16,Terra Luna army ™🦈,"Should #Coinbase list #LUNC?

Retweet if you want and smash the like ❤button 🔮🔥💪
Re tweet and smash the like button if you want 

#LuncBurn #LuncArmy #XRP #btc    $LUNC #USTC #PEPE
 #PEPE2
#SHIB  #eth #PinkSale #BSC #BNB    #Crypto #SOL  #Ada https://t.co/G09zbuuhVJ",Mon Jul 29 17:44:44 +0000 2024,113,378,should coinbase list lunc retweet if want smash like button re tweet smash like button if want luncburn luncarmy xrp btc lunc ustc pepe pepe shib eth pinksale bsc bnb crypto sol ada
17,Clam Digger 🍬👨‍🚀💿,"Best Takeaways

-16:50 @Equinix confirmed bare metal resource partner, just waiting on their approval to announce.

- $IAG staking under audit by @txpipe_tools and to be released in months

-LSPO increasing liquidity across dexes with buybacks

#ada 

https://t.co/56AE1fNYSg",Mon Jul 29 16:27:28 +0000 2024,21,88,best takeaways confirmed bare metal resource partner just waiting their approval announce iag staking under audit be released months lspo increasing liquidity across dexes buybacks ada
18,Cardano Feed ($ADA),"Top Analysts Projects 2021% Cardano (ADA) Price Rally to $9 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/3G4HXYp1sx",Mon Jul 29 07:42:44 +0000 2024,27,191,top analysts projects cardano ada price rally cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
19,InvestAnswers,oh and in fun news - 1 $SOL is now 456 #ADA - it used to be 6 #Cardano  - can someone help me with the math here?,Mon Jul 29 01:45:44 +0000 2024,16,368,oh fun news sol now ada used be cardano can someone help me math here
20,Cardano Feed ($ADA),"Cardano Moves One Huge Step Closer To Game-Changing Chang Hard Fork After Latest Node Release 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/9LWdUZRAPX",Sun Jul 28 18:27:18 +0000 2024,28,181,cardano moves one huge step closer gamechanging chang hard fork after latest node release cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
21,Cardano Feed ($ADA),"Cardano Recovery Imminent? Whales Make Their Move With 17 Billion ADA 

#Cardano #cardanofeed #trading #ADA #crypto #CardanoCommunity #bitcoin #blockchain #governance #cryptocurrency #CardanoADA #btc $ADA 
https://t.co/YrGADZc00g",Sun Jul 28 18:27:16 +0000 2024,23,161,cardano recovery imminent whales make their move billion ada cardano cardanofeed trading ada crypto cardanocommunity bitcoin blockchain governance cryptocurrency cardanoada btc ada
