Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,FLOKI,"This week in the #Floki / #TokenFi Weekly Recap:

✓ Floki / #BNB Chain ""Train Like a Champion"" event
✓ Floki x Moby Media AMA summary
✓ Upcoming market announcement
✓ Simon's Cat airdrop

All this, and more, on Saturday, August 03, at 6 PM UTC! 👇
 https://t.co/yEUfLrnWRx",Fri Aug 02 19:03:36 +0000 2024,104,454,week floki tokenfi weekly recap floki bnb chain train like champion event floki x moby media ama summary upcoming market announcement simons cat airdrop all more saturday august pm utc
2,POWELLY,"#SaitaChain Community 

#Crypto been Blood Red 

Stock Markets all Over the World Crashing 

A 10 #BNB Sell comes in for #STC #SaitaChainCoin on DEX 

What Happens Next?

A Flood of Buys come in for #STC #SaitaChainCoin On DEXs and a Green Wall of Buys

Remember my Liquidity Post https://t.co/cF8TqT8yrV",Fri Aug 02 18:48:52 +0000 2024,55,106,saitachain community crypto been blood red stock markets all over world crashing bnb sell comes stc saitachaincoin dex what happens next flood buys come stc saitachaincoin dexs green wall buys remember my liquidity post
3,Rahul Rohit Parikh 🐺 kingdom,"THE Kingdom is rising 👑🐺

#kingdom #stc #saitama #sbc #sol #bnb #meme #web3 #crypto #saitachain #trump https://t.co/5hJGYrGO0W",Fri Aug 02 18:46:44 +0000 2024,39,95,kingdom rising kingdom stc saitama sbc sol bnb meme web crypto saitachain trump
4,Rahul Rohit Parikh 🐺 kingdom,"Not everyone can partner with #Chelsea. @BingXOfficial 
#stc now trading live on #bingx

#saitachain #bnb #web3",Fri Aug 02 15:45:10 +0000 2024,68,148,everyone can partner chelsea stc now trading live bingx saitachain bnb web
5,Amonyx,"🗓️ Daily reminder: Price targets 

#Bitcoin : $100,000+
#Ethereum : $10,000
#BNB  : $1,000
#EGLD : $1,000
$WAN : $100
$LQTY : $100+
$MINA : $100
$XRP : $10+
$ADA : $10
$JASMY : $3
$LUNC : $1
$SHIB : $0.001

patience 🗝️",Fri Aug 02 13:57:15 +0000 2024,45,327,daily reminder price targets bitcoin ethereum bnb egld wan lqty mina xrp ada jasmy lunc shib patience
6,Valerie’s Crypto Hub 🔶⚡️,"$200 in #BNB Giveaway!!

Follow @cryptofernsby &amp; @valeriehub_ 
Drop proofs in the comments.

Repost for your friends to participate. 
Good Luck!!",Fri Aug 02 09:56:40 +0000 2024,293,322,bnb giveaway follow amp drop proofs comments repost your friends participate good luck
7,GroveX,"Exciting News!  @PolyhedraZK ($ZKJ) is Now Listed on GroveX and trading has begun! 

Token: $ZKJ

📈Trade Now: https://t.co/THmytD4W4a
📖 More Info: https://t.co/IFDzJ3qlMP

#ZKJ #Crypto #Blockchain #GroveX #Trading #ETH #BNB #cryptocurrency https://t.co/am7aRIabX7",Fri Aug 02 09:09:00 +0000 2024,5,249,exciting news zkj now listed grovex trading has begun token zkj trade now more info zkj crypto blockchain grovex trading eth bnb cryptocurrency
8,StygianOne,"This is pretty cool utility of #SaitaSwap ngl.

Why you ask?

Well, you can swap many different EVM coins / tokens (#ETH, #BNB, #AVAX etc).

And you remember that our #SBC is as well EVM compatible.

What does it mean? That in long term future, we could have swap from ANY EVM",Fri Aug 02 08:59:15 +0000 2024,55,103,pretty cool utility saitaswap ngl why ask well can swap many different evm coins tokens eth bnb avax etc remember our sbc as well evm compatible what does mean long term future we could have swap from any evm
9,Binance,"Megadrop simplified in a quick 2-minute (and a bit) guide.

Learn how to earn points, lock up #BNB, and complete web3 quests to maximize your rewards.

Find out what it means for you. 👇
https://t.co/UIt9UQTrx9",Fri Aug 02 08:00:14 +0000 2024,188,641,megadrop simplified quick minute bit guide learn how earn points lock up bnb complete web quests maximize your rewards find out what means
10,Nakamoto.Games,"Over the past four days, we've added #AppleID as an access option, revealed the latest #BlackContact development, announced #PVP and #PVE for #UMT 2.0, launched the first #BNB Ecosystem on $NAKA, went live with the new Asset Page, and brought our first Mobile App to #GooglePlay. https://t.co/Mz4srn6AB2",Fri Aug 02 00:00:01 +0000 2024,51,290,over past four days weve added appleid as an access option revealed latest blackcontact development announced pvp pve umt launched first bnb ecosystem naka went live new asset page brought our first mobile app googleplay
11,STCBurn Token (STCB) - We Burn SaitaChain Coin,"Where we buyin' ?  
#STCB $SOL #SaitaChainBlockchain #BNB https://t.co/VqTb8Gaext",Thu Aug 01 20:50:25 +0000 2024,26,62,where we buyin stcb sol saitachainblockchain bnb
12,Nikkii SaitaChain Kingdom,"#SaitaChainCoin is now available on #SBC #SaitaChain network on @BingXOfficial

Withdrawal &amp; deposits are now live for #STC on #SBC network 🔥🚀

#SaitaChain #SaitaChainCoin #BingX #Crypto #BNB #ETH https://t.co/1rmQubZkwz",Thu Aug 01 18:29:04 +0000 2024,65,136,saitachaincoin now available sbc saitachain network withdrawal amp deposits are now live stc sbc network saitachain saitachaincoin bingx crypto bnb eth
13,Dubai SaitaChain,"The deposit and withdrawal networks for SaitaChain Coin on @BingXOfficial Top 15 CEX.

I like the bracket after SBC for further clarification to new investors 😉💥

#SaitaChain #SaitaChainCoin #BingX #Crypto #SBC #cryptocurrency #BNB https://t.co/dsIUQBJB82",Thu Aug 01 18:09:04 +0000 2024,179,339,deposit withdrawal networks saitachain coin top cex like bracket after sbc further clarification new investors saitachain saitachaincoin bingx crypto sbc cryptocurrency bnb
14,Fra(N)chise 🔱,"It feels good looking at #STC chart knowing at any moment it can pop 🚀🚀

#STC and @SaitaChainCoin movement to the upside continues 

#SaitaChain #layerzero  #SaitaCard #BTC #BNB https://t.co/L2YskuDhlr",Thu Aug 01 12:31:14 +0000 2024,26,81,feels good looking stc chart knowing any moment can pop stc movement upside continues saitachain layerzero saitacard btc bnb
15,Dubai SaitaChain,"SaitaChain Coin - $STC is now listed and trading live on @BingXOfficial 🦾

#SaitaChain #SaitaChainCoin #Crypto #BingX #SBC #BNB #ChelseaFC https://t.co/PsicWl0UOs",Thu Aug 01 12:17:18 +0000 2024,198,391,saitachain coin stc now listed trading live saitachain saitachaincoin crypto bingx sbc bnb chelseafc
