Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,chicoᝰ.ᐟ,"When someone ask me what falling in love looks like:
#daishun #dai #shun #theboyfriend https://t.co/Uzme1mLHIb",Thu Aug 01 13:42:41 +0000 2024,233,1722,when someone ask me what falling love looks like daishun dai shun theboyfriend
2,chicoᝰ.ᐟ,"Did shun just change his place🤣??
#theboyfriend #shun #DaiShun #dai https://t.co/RUUcP7wXhl",Thu Aug 01 12:29:02 +0000 2024,188,1944,did shun just change his place theboyfriend shun daishun dai
3,Netflix Philippines,"did we make it?                             yes we did

#TheBoyfriend #Dai #Shun #DaiShun #Netflix https://t.co/1oyuV6mh5K",Thu Aug 01 11:05:57 +0000 2024,595,2492,did we make yes we did theboyfriend dai shun daishun netflix
4,chicoᝰ.ᐟ,"The way I laughed so hard when I remembered this episode and Dai liked this post hehhehe tea is tea 🤣🤣🤣
#theboyfriend #daishun #dai https://t.co/JUJGtq3iB0",Thu Aug 01 10:18:04 +0000 2024,399,3011,way laughed so hard when remembered episode dai liked post hehhehe tea tea theboyfriend daishun dai
5,chicoᝰ.ᐟ,"new standard unlocked :
-Understandable
-finds everything shun does CUTE .
-take all your problems seriously
- “I’ll always choose shun”
-the way he dressing
- the way he talks 
- very romantic 
- GREEN FLAG 
- clingy bf 
- boyfriend material 

#theboyfriend #DaiShun #dai https://t.co/m6ADNu1iiW",Thu Aug 01 10:07:50 +0000 2024,659,3660,new standard unlocked understandable finds everything shun does cute take all your problems seriously ill always choose shun way he dressing way he talks very romantic green flag clingy bf boyfriend material theboyfriend daishun dai
6,eysee 🌱,The captions on these posts #Dai liked on insta lol #TheBoyfriend https://t.co/coCYlceVjr,Thu Aug 01 09:32:27 +0000 2024,248,1935,captions these posts dai liked insta lol theboyfriend
7,chicoᝰ.ᐟ,"“even in a crowded room, 
I’ll always choose you”
#theboyfriend #DaiShun #dai https://t.co/9d1YzZVQu5",Wed Jul 31 23:13:56 +0000 2024,59,668,even crowded room ill always choose theboyfriend daishun dai
8,Crypto.com,"🚀 Dive in to the world of #DAI! 💰 

Learn how to use, trade, and create the stablecoin. No membership needed — just crypto curiosity! 🌐 
https://t.co/CZTvK437oD https://t.co/Ynh33EDr2o",Tue Jul 30 20:29:22 +0000 2024,45,208,dive world dai learn how use trade create stablecoin no membership needed just crypto curiosity
9,raque neomark ❤️‍🔥,"my two extroverts celebrating that they took their two introverts hahahaha I love them
#TheBoyfriend #Alan #Kazuto #Dai #Shun #ShunDai  #DaiShun #AlanKazuto https://t.co/a93wUtdqZA",Tue Jul 30 12:07:03 +0000 2024,120,1132,my two extroverts celebrating they took their two introverts hahahaha love them theboyfriend alan kazuto dai shun shundai daishun alankazuto
10,yamm 🐙 daishun,"#Dai the extroverted boy who likes to show love in his relationships fell in love with an introverted boy who did not express his emotions well, giving him his space and trying to find out the reason for shun's anger, in the end he could have a happy ending ❤️‍🩹🥹

 #theboyfriend https://t.co/ACGoC5pcix",Tue Jul 30 08:41:21 +0000 2024,243,1428,dai extroverted boy who likes show love his relationships fell love an introverted boy who did express his emotions well giving him his space trying find out reason shuns anger end he could have happy ending theboyfriend
11,yamm 🐙 daishun,"We are less than 24 hours to say goodbye to the best Japanese reality show netflix japan could give us, I am so happy to have met the guys and more my precious boys #dai and #shun 🥹❤️‍🩹

I'm not ready to say goodbye to my tuesday happiness🥲

 #TheBoyfriend #DaiShun #ShunDai https://t.co/AnYSXhEfBL",Mon Jul 29 08:43:48 +0000 2024,196,1224,we are less than hours say goodbye best japanese reality show netflix japan could give us am so happy have met guys more my precious boys dai shun im ready say goodbye my tuesday happiness theboyfriend daishun shundai
