Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,DFinance,"#ICP future DFinance airdrops can now be secured by doing these tasks: 

✅ Following @DFinance_app
✅ Retweet + Like this post
✅ Join our Telegram (https://t.co/nBVhwaY36G)
✅ Comment your Principal ID https://t.co/GOV0dDZtZI",Fri Aug 02 16:30:00 +0000 2024,189,225,icp future dfinance airdrops can now be secured doing these tasks following retweet like post join our telegram comment your principal id
2,ICP HUB Kenya,"✨Did you miss our #motoko programming class on Wednesday? No worries! You can now access the class on our #YouTube channel.

Click the link below to level up your knowledge now!
🔗: https://t.co/LA7dfWJEnv
#YouTubeLearning #ICP",Fri Aug 02 15:07:47 +0000 2024,45,52,did miss our motoko programming class wednesday no worries can now access class our youtube channel click link below level up your knowledge now youtubelearning icp
3,pokedstudio ∞,lets make ICP great again  🤓 tell us what you are building #icp,Fri Aug 02 13:50:02 +0000 2024,6,105,lets make icp great again tell us what are building icp
4,Claudio Cossio,Really excited on what @cafincanet has built on top of ckBTC. All with the support from @icphub_MX. Looking forward to more Point of Sales integrations. Now you can get your ☕ #icp #chainfusion #CoffeeTime https://t.co/Evj15VEqXe,Fri Aug 02 13:42:31 +0000 2024,37,116,really excited what has built top ckbtc all support from looking forward more point sales integrations now can get your icp chainfusion coffeetime
5,ICP MINT TODAY ∞,"To Celebrate The SNS Sale of #DOGMI we are Givingaway to Our Community👥

🏆20 billion $Dogmi (20 winners)

To Enter🛸

1⃣ Follow @ICPMintToday  &amp; @dogfinity
2⃣ Like, RT📌
3⃣ Comment Your PID
4⃣Sale :https://t.co/Uz8nPUStLa

#Giveaways #ICP  #airdrop #Airdrops #Giveaway $ICP #SNS https://t.co/DDW9hatiaI",Fri Aug 02 12:07:03 +0000 2024,317,335,celebrate sns sale dogmi we are givingaway our community billion dogmi winners enter follow amp like rt comment your pid sale giveaways icp airdrop airdrops giveaway icp sns
6,Icpspace🎙️,"📢DOGMI SNS Special #Giveaway! 

🌹@Icpspace is teaming up with @Dogfinity to host a special #GIVEAWAY of (10B) $DOGMI tokens 🚀 

To join: 
📍Follow @dogfinity &amp; @Icpspace
📍❤️ &amp; RT
📍Tag your Frens 💑
📅 Ends: Aug 12, 7AMUTC

🔗https://t.co/2oj0DOdjtc 🎉

#SNS $ICP #Dogmi #ICP https://t.co/GnqcJSE6CB",Fri Aug 02 12:00:31 +0000 2024,192,215,dogmi sns special giveaway teaming up host special giveaway b dogmi tokens join follow amp amp rt tag your frens ends aug amutc sns icp dogmi icp
7,DFINITY,"Immaculate vibes last week at #BitcoinNashville 🟧

From keynotes at @buildingonbtc, to live showcases of Chain Fusion tech from founders at Chain Fusion Day and everything in between, the #ICP team came out in full force ♾️ https://t.co/CiFzdSIq9t",Fri Aug 02 08:04:23 +0000 2024,47,256,immaculate vibes last week bitcoinnashville from keynotes live showcases chain fusion tech from founders chain fusion day everything between icp team came out full force
8,BobbyO,"ICP spaces tonight. Probably do an open floor but the general conversation will be about why we are moving to new systems. In my opinion.

#ICP $ICP 
https://t.co/AJDtML82rQ",Thu Aug 01 18:32:58 +0000 2024,16,68,icp spaces tonight probably do an open floor but general conversation will be about why we are moving new systems my opinion icp icp
9,dom.icp ∞,"Competition: explain #ICP in a 40s video!
PRIZES from @dfinity for the best ⚡️
(help crowdsource pitches)
Post to replies 🎙️🧵",Thu Aug 01 18:32:21 +0000 2024,155,660,competition explain icp s video prizes from best help crowdsource pitches post replies
10,fran.icp ∞ ⭐️,"⚠️Breaking News: #Binance has not allowed $ICP withdrawals for several hours. 

The official information states that there is ""maintenance"" in progress. It is unknown when withdrawals will be allowed.
 #ICP https://t.co/XlJE7o3Nvn",Thu Aug 01 14:28:02 +0000 2024,14,94,breaking news binance has allowed icp withdrawals several hours official information states there maintenance progress unknown when withdrawals will be allowed icp
