Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,KYE,You just ain’t ready what $QUBIC is about to put on the table! If you fade I don’t care somebody else will get rich in your place. #qubic #ai,Thu Aug 01 19:22:54 +0000 2024,22,136,just aint ready what qubic about put table if fade dont care somebody else will get rich your place qubic ai
2,Come-from-Beyond,"@taxesRscam Community said ""Fuck the founder, #Qubic is decentralized, we want lower supply limit"".",Thu Aug 01 19:18:49 +0000 2024,28,271,community said fuck founder qubic decentralized we want lower supply limit
3,Come-from-Beyond,"Frequently asked (recently) question:
What if #Qubic supply reaches its max value, will the network stop?

Answer:
No, the miners will stop mining and the Quorum won't be updated until we burn enough for mining to resume.

It's new tech which doesn't have cons of Bitcoin clones.",Thu Aug 01 11:42:10 +0000 2024,89,407,frequently asked recently question what if qubic supply reaches its max value will network stop answer no miners will stop mining quorum wont be updated until we burn enough mining resume its new tech which doesnt have cons bitcoin clones
4,Cily🌵𐤊🍹,"I'm extremely disappointed with $qubic. Yesterday, I sold 20 billion. I don't want to hold even one $Qubic now.

Farewell to this disgusting AI project. Bye
#Qubic  #CFB",Wed Jul 31 03:51:55 +0000 2024,7,260,im extremely disappointed qubic yesterday sold billion dont want hold even one qubic now farewell disgusting ai project bye qubic cfb
5,KYE,"The shit that has been going around about $QUBIC. Well guess what, we have nothing to hide! I keep saying we will be the highest R/R coin in the space. Good luck fading. #qubic #ai",Mon Jul 29 19:20:00 +0000 2024,18,118,shit has been going around about qubic well guess what we have nothing hide keep saying we will be highest rr coin space good luck fading qubic ai
6,KYE,This weirdly insecure human being can get ready to delete his account in a few months from now. The concept of crowning a winner at the end of a race is unknown to him since he has never experienced winning. $QUBIC is and will be the highest R/R coin this cycle. #qubic #ai,Mon Jul 29 10:55:32 +0000 2024,18,129,weirdly insecure human being can get ready delete his account few months from now concept crowning winner end race unknown him since he has never experienced winning qubic will be highest rr coin cycle qubic ai
7,Burn Qubic,"🚀 Big news for $Qubic! 

Introducing Qubic Quest, a game-changing mobile puzzle that's set to revolutionize blockchain gaming.
 
The future of Qubic is looking brighter than ever! 🧩🎮

#CryptoNews #Qubic",Sun Jul 28 05:25:11 +0000 2024,44,206,big news qubic introducing qubic quest gamechanging mobile puzzle thats set revolutionize blockchain gaming future qubic looking brighter than ever cryptonews qubic
8,Cily🌵𐤊🍹,"$Qubic is the only blockchain project that does not require the transfer of gas fees. 

Zero gas fee wherever the send and receive between Qubic wallet, even from Qubic wallet to exchange.

Seriously, ask, did any other project truly achieve zero fees?

#QUBIC #ZeroGasFee https://t.co/KwsdSObj96",Sun Jul 28 02:28:13 +0000 2024,26,202,qubic only blockchain project does require transfer gas fees zero gas fee wherever send receive between qubic wallet even from qubic wallet exchange seriously ask did any other project truly achieve zero fees qubic zerogasfee
9,Come-from-Beyond,"An idea about self-developing #AI, found by #Aigarth (https://t.co/VxQAUfHPrQ), has been re-found by https://t.co/Wo1Iy5EOnQ.
Yet another confirmation that we are on the right track.
#Qubic https://t.co/i2dyPz7eU6",Sat Jul 27 19:36:36 +0000 2024,157,585,an idea about selfdeveloping ai found aigarth has been refound yet another confirmation we are right track qubic
10,Rudy Nakamoto ₿ ױ,"🛠️ Legendary member of https://t.co/lLQSPb3wqQ, Sergey Ivancheglo aka « comefrombeyond », registered on November 22, 2011, and has over 16,000 posts. Known for revolutionary contributions like $NXT, $Qubic, and #IOTA. Here's an excerpt from his #Qubic presentation:

"" $Qubic is a https://t.co/t4lGoROiB3",Thu Jul 25 14:59:41 +0000 2024,24,144,legendary member sergey ivancheglo aka comefrombeyond registered november has over posts known revolutionary contributions like nxt qubic iota heres an excerpt from his qubic presentation qubic
11,Adler 🦅,"$KAS $QUBIC 

How people can be so bullish on #KAS momenaly after x140 ROI from the low's, and at the same time, so bearish on #QUBIC after -90%  from the high's.

Probably #KAS maxis selling theyre bags here, so they can buy #QUBIC at these lows. 
🚨
No one here wants you to win",Thu Jul 25 00:36:58 +0000 2024,5,95,kas qubic how people can be so bullish kas momenaly after x roi from lows same time so bearish qubic after from highs probably kas maxis selling theyre bags here so they can buy qubic these lows no one here wants win
12,Cily🌵𐤊🍹,"It is a shame that such a founder always spreads #FUD about $KASPA, decreasing the quality of this cryptocurrency community.

If you have something to do, please keep quiet. A successful individual achieves silently.

Thinking without using your brain is not wise.

#QUBIC #CFB https://t.co/FRnqWWRwzD",Wed Jul 24 12:34:38 +0000 2024,7,113,shame such founder always spreads fud about kaspa decreasing quality cryptocurrency community if have something do please keep quiet successful individual achieves silently thinking without using your brain wise qubic cfb
13,Come-from-Beyond,In #Aigarth we have created #IntelligentTissue and now the last task remained unsolved before we can begin constructing #AI instances: scaling. In 6 weeks #Qubic miners are starting working on this.,Wed Jul 24 10:41:24 +0000 2024,117,510,aigarth we have created intelligenttissue now last task remained unsolved before we can begin constructing ai instances scaling weeks qubic miners are starting working
14,Rudy Nakamoto ₿ ױ,"$QUBIC roadmap is so ambitious and on the way to being achieved that I'd like to offer you a clip to motivate the community and dance 🪩 this summer ENJOY : Thank you all!

🚀 #Qubic Roadmap 2024 is so huge 🚀

3rd Quarter:

•Targeting a Stable Tick Time of 1-2s
•Add New https://t.co/1awbIVpgiS",Mon Jul 22 23:14:49 +0000 2024,35,146,qubic roadmap so ambitious way being achieved id like offer clip motivate community dance summer enjoy thank all qubic roadmap so huge rd quarter targeting stable tick time s add new
15,Come-from-Beyond,#Kaspa maxis FUDing against #Qubic were recorded on the price chart because their own fear became obvious to some $KAS holders. You can see it yourself on https://t.co/B2aE1qR5Hh. https://t.co/ihTaO8Uqas,Sun Jul 21 22:13:08 +0000 2024,28,277,kaspa maxis fuding against qubic were recorded price chart because their own fear became obvious some kas holders can see yourself
16,Foleycious,"soooo much happening right now... 

#Qubic https://t.co/5gi2YIgvvm",Sun Jul 21 18:55:55 +0000 2024,13,99,soooo much happening right now qubic
17,Come-from-Beyond,"@Slowpierrot Why so much hatred? My best guess it's because #Kaspa wanted to be the first #DAG, but the first was created by the same guy who created #Qubic.",Sun Jul 21 18:41:19 +0000 2024,18,228,why so much hatred my best guess its because kaspa wanted be first dag but first was created same guy who created qubic
18,Foleycious,"already 40bn QUBIC collected by qx as revenue for shareholders 🤯

#Qubic #qx #dex https://t.co/vRS4BxidoM",Sun Jul 21 17:41:19 +0000 2024,18,131,already bn qubic collected qx as revenue shareholders qubic qx dex
19,Come-from-Beyond,Thanks to #Qubic miners we have found out that the current architecture used by #Aigarth has properties of memory and we don't need to add it explicitly. Doing computations in memory is much more energy efficient than storing data somewhere else and moving them back and forth.,Sun Jul 21 08:35:56 +0000 2024,105,602,thanks qubic miners we have found out current architecture used aigarth has properties memory we dont need add explicitly doing computations memory much more energy efficient than storing data somewhere else moving them back forth
20,KYE,$QUBIC there are a lot of rumours around. Imo I  wouldn’t wait too long to get a good entry. Big things are being worked on ;) #qubic #ai,Sat Jul 20 11:51:32 +0000 2024,33,221,qubic there are lot rumours around imo wouldnt wait too long get good entry big things are being worked qubic ai
21,the_occtessence,"Most people won’t have the balls to HODL $QUBIC for a 1000x. Probably sell for a 1.5x on the $15 😆

Look at the ROI on $NXT! And that was his side project!

#QUBIC is his brain child. Tech that will change the world! 

🤷 probs nothing tho.

Diamond hands = Millionaires",Fri Jul 19 21:48:14 +0000 2024,14,129,most people wont have balls hodl qubic x probably sell x look roi nxt was his side project qubic his brain child tech will change world probs nothing tho diamond hands millionaires
22,CryptoRodo,"$QUBIC Fam Assemble! 💪🚀

If you love #QUBIC drop a comment below and let's follow each other 🫂 

Tag your friends in the comments so we could welcome then to the community! 🥳

We are growing day by day and I want to keep in touch with all of you! 

I will keep you informed https://t.co/dadkEovJhf",Thu Jul 18 20:17:21 +0000 2024,53,280,qubic fam assemble if love qubic drop comment below lets follow each other tag your friends comments so we could welcome then community we are growing day day want keep touch all will keep informed
23,Come-from-Beyond,"@Kaspa_The_Culte @TheCryptoEscape When I was engineering #Qubic I picked a round number (10^15) as the max possible supply. The protocol permits the users to set this limit and now, when the community has matured, they can decide what number they actually prefer.
PS: See, Qubic is more decentralized than Bitcoin?",Thu Jul 18 05:08:08 +0000 2024,35,156,when was engineering qubic picked round number as max possible supply protocol permits users set limit now when community has matured they can decide what number they actually prefer ps see qubic more decentralized than bitcoin
24,CryptoRodo,"Who else thinks @Grayscale should meet $QUBIC's team ? 🤝

#QUBIC",Wed Jul 17 14:28:03 +0000 2024,21,149,who else thinks should meet qubics team qubic
25,cibuQױ,"Probably nothing.
$QUBIC 👽 

CfB 🪞BtC

#Ai #Aigarth #Qubic #BtC https://t.co/wcV1FWUrW5",Wed Jul 17 13:22:01 +0000 2024,15,149,probably nothing qubic cfb btc ai aigarth qubic btc
26,Come-from-Beyond,"@plzsats @KaspaCurrency I got a notification because of your $QUBIC, I dislike such marketing so, to balance the universe:

Follow what these prominent engineers are doing over at #Qubic @_Qubic_.

Ground breaking new (unlike #DAG) protocol, which Nick Szabo described in https://t.co/7t7LseUDyI.

$KAS",Wed Jul 17 06:33:18 +0000 2024,29,194,got notification because your qubic dislike such marketing so balance universe follow what these prominent engineers are doing over qubic ground breaking new unlike dag protocol which nick szabo described kas
27,Come-from-Beyond,"Do you know how #Qubic quorum can speedup the development? By changing 1000 to 200 in

#define MAX_AMOUNT (ISSUANCE_RATE * 1000ULL).

After that the dev team will have 82 weeks left, assuming no further burns will be happening.",Tue Jul 16 07:43:12 +0000 2024,59,422,do know how qubic quorum can speedup development changing define max_amount issuance_rate ull after dev team will have weeks left assuming no further burns will be happening
28,Come-from-Beyond,An experiment with somebody's bot on https://t.co/5FqavmcR2d showed that it implements shorting logic. After it had started buying back I noticeably reduced its trading volume (per second) with just a $10k ask order. What does this mean? It explains recent #Qubic price decline.,Mon Jul 15 15:40:51 +0000 2024,83,417,an experiment somebodys bot showed implements shorting logic after had started buying back noticeably reduced its trading volume per second just k ask order what does mean explains recent qubic price decline
29,KYE,Never expected it to happen this fast. @CoinMarketCap finally managed to rank $QUBIC correctly. After months of back and forth they have finally done it! Let’s see how fast we go from 251 into the top 10. #qubic #ai,Mon Jul 15 14:33:28 +0000 2024,34,175,never expected happen fast finally managed rank qubic correctly after months back forth they have finally done lets see how fast we go from into top qubic ai
