Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,Lola,"IMO Stock and CRYPTO Market have fears of Global recession because Kamala Harris is leading on some polls .  Not sure if this is the environment you want moving forward by voting for her . Remember this is your children's future , your 401K and your life savings #Trump2024 #SHIB https://t.co/OaONSBKc3y",Fri Aug 02 22:47:50 +0000 2024,35,111,imo stock crypto market have fears global recession because kamala harris leading some polls sure if environment want moving forward voting her remember your childrens future your k your life savings trump shib
2,Lola,"When stock market is down , #Bitcoin #SHIB should show resilience and move up so that people can understand the meaning of HEDGE  🚀

Cmon @saylor we want 69K BTC 🚀
SHIB needs to go back higher 🚀",Fri Aug 02 21:47:10 +0000 2024,10,107,when stock market down bitcoin shib should show resilience move up so people can understand meaning hedge cmon we want k btc shib needs go back higher
3,Lola,"Crazy Market
I hope you are ok #SHIBARMY

We need you to break some attitude #SHIB and move higher 🚀",Fri Aug 02 21:37:15 +0000 2024,20,166,crazy market hope are ok shibarmy we need break some attitude shib move higher
4,CRYPTO SHIB,"Buy More #SHIB Today?

NO                                 YES
👇                                    👇 https://t.co/Wqwq8KZs64",Fri Aug 02 21:10:32 +0000 2024,26,191,buy more shib today no yes
5,Olcay Saka,"My comments are valid for $FLOKI. The market may not allow it, but #Floki will turn the crisis into an opportunity. 

A quality project is not a coincidence..✊

@RealFlokiInu 📈 #HODL ✅

#FLOKI #DOGE #SHIB #PEPE #WIF #BTC #Bitcoin #Ethereum #ETH #MEME #Borsa https://t.co/QzZcf9K2v6",Fri Aug 02 18:29:54 +0000 2024,31,196,my comments are valid floki market may allow but floki will turn crisis into an opportunity quality project coincidence hodl floki doge shib pepe wif btc bitcoin ethereum eth meme borsa
6,Shiba Arab army™,"This petition is for #SHIB and not personal at all. @binance and those behind them always need a community. I am an ordinary person who does not have a million followers and does not have a competing company to sit with someone like @_RichardTeng . Of course, he does not care https://t.co/23nA6Pchkz",Fri Aug 02 15:37:50 +0000 2024,71,172,petition shib personal all those behind them always need community am an ordinary person who does have million followers does have competing company sit someone like course he does care
7,Whale X,"1 Massive pump can change your life

#SHIB TO $0.01 soon🔜🔥🚀 https://t.co/dOdXabUNWx",Fri Aug 02 14:40:23 +0000 2024,43,237,massive pump can change your life shib soon
8,CRYPTO SHIB,"1 MASSIVE PUMP CAN CHANGE YOUR LIFE 🚀🚀🚀🚀🚀🚀

#SHIB TO $0.01 🚀 🚀🚀🚀🔥🔥🔥🔥 https://t.co/kiSbxAkqfO",Fri Aug 02 12:00:04 +0000 2024,81,382,massive pump can change your life shib
9,U.Today,"The $SHIB ecosystem is growing exponentially, according to a #SHIB member @LucieSHIB https://t.co/hX5sI2U6YM",Fri Aug 02 10:43:57 +0000 2024,67,263,shib ecosystem growing exponentially according shib member
10,SHIBCrowd,"The Biggest Green Candle Is Coming Just Wait And Watch #SHIB Dreamer⏰🚀 

Let's Go #ShibaInu #SHIBARMY 🚀 https://t.co/zZVnppiF7P",Fri Aug 02 10:04:42 +0000 2024,28,170,biggest green candle coming just wait watch shib dreamer lets go shibainu shibarmy
11,CRYPTO SHIB,The Biggest $SHIB Green Candle Is Coming Just Wait And Watch #SHIB Dreamer ⏰🚀 Let's Go #SHIBARMYSTRONG #SHIBARMY 🚀 https://t.co/DRNcGYUo9n,Fri Aug 02 08:09:21 +0000 2024,51,251,biggest shib green candle coming just wait watch shib dreamer lets go shibarmystrong shibarmy
