Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,nft muse,"Good night crypto friends🌼
Don't forget to enjoy the weekend and touch some grass love you all🫶🏼 
#SOL #CRYPTO https://t.co/5IyZpbTtnv",Fri Aug 02 20:41:13 +0000 2024,1,74,good night crypto friends dont forget enjoy weekend touch some grass love all sol crypto
2,Rahul Rohit Parikh 🐺 kingdom,"THE Kingdom is rising 👑🐺

#kingdom #stc #saitama #sbc #sol #bnb #meme #web3 #crypto #saitachain #trump https://t.co/5hJGYrGO0W",Fri Aug 02 18:46:44 +0000 2024,39,95,kingdom rising kingdom stc saitama sbc sol bnb meme web crypto saitachain trump
3,Tom Bibiyan 🇺🇸,"I really love retardio 

On one hand they’re a bunch of Nazis 

On the other they genuinely love Julie our Nigerian queen fren 🤡 🫵 #SOL https://t.co/rtIJ838P1R",Fri Aug 02 18:38:10 +0000 2024,8,93,really love retardio one hand theyre bunch nazis other they genuinely love julie our nigerian queen fren sol
4,Ghosty.Cash,"You’re not ready what’s coming 🤭😱👻👀

#BTC #TON #SOL",Fri Aug 02 17:53:19 +0000 2024,35,142,youre ready whats coming btc ton sol
5,MR. BROWN,"💰 SOLANA GIVEAWAY 💰

Prize:
🏆 $10 in $SOL

To Enter:
1⃣ Follow @mrbrown_nft (🔔)
2⃣ RT &amp; Like
3⃣ Drop $SOL address👇

Ends in 24 hours ⏰ #SOLANA #SOL https://t.co/vcO0GbfdVn",Fri Aug 02 16:33:29 +0000 2024,554,541,solana giveaway prize sol enter follow rt amp like drop sol address ends hours solana sol
6,Azgog,Drop addy you may be blessed with #SolanaGiveaway #SOL #Giveaway https://t.co/YOJOJgV359,Fri Aug 02 12:12:40 +0000 2024,120,181,drop addy may be blessed solanagiveaway sol giveaway
7,Berkay Ozcan,"Good Morning🌞

Life is hard these days but I have no plans to give up🤟

Embrace Death, Welcome Rebirth🩷
1/1 - 0.7 #SOL https://t.co/sKLQu9Tksk",Fri Aug 02 10:34:27 +0000 2024,14,85,good morning life hard these days but have no plans give up embrace death welcome rebirth sol
8,Daniel Veroc ⚡️#EGLDSqueeze,"#SOLANA 

😡 Lied about tokenomics, it's CRIMINAL!
📉 Manipulated TPS counts!
🕵️ FTX and shady VCs manipulated price and did shady things!
⚠️ Support MEV (stealing from people).
💸 Low fees due to unsustainable inflation to pay validators.

Now on #SOL👇
https://t.co/amccckujEk",Fri Aug 02 09:55:38 +0000 2024,39,91,solana lied about tokenomics its criminal manipulated tps counts ftx shady vcs manipulated price did shady things support mev stealing from people low fees due unsustainable inflation pay validators now sol
9,Daniel Veroc ⚡️#EGLDSqueeze,"Agree! #MultiversX (#Elrond) changed my perspective on the whole crypto market at the end of 2020. 

#EGLD is the most undervalued, advanced, scalable, decentralized &amp; secure project in #crypto, whether you believe us or not. #EGLDSqueeze will happen, with or without you. #SOL👀",Fri Aug 02 09:04:43 +0000 2024,58,160,agree multiversx elrond changed my perspective whole crypto market end egld most undervalued advanced scalable decentralized amp secure project crypto whether believe us or egldsqueeze will happen or without sol
10,NFT Holders™ 💎,"🪙 $TripC : something big is brewing. 

Get this coin and hodl while it’s below 50MC 📈

🔗: 48UEkCz4CmPVMNWVdHboApA9GtowC2S2uZMyBLF9vjPK 

➡️ Join the community : https://t.co/8rOk62oKi1

#memecoin #meme #solana $SOL #SOL #Web3 #BTC $pepe $wif $doge $shib $turbo $peipei $mother https://t.co/wrEwbzcWXa",Fri Aug 02 02:58:02 +0000 2024,475,488,tripc something big brewing get coin hodl while its below mc uekczcmpvmnwvdhboapagtowcsuzmyblfvjpk join community memecoin meme solana sol sol web btc pepe wif doge shib turbo peipei mother
11,MR. BROWN,"💰 SOLANA GIVEAWAY 💰

Prize:
🏆 $15 in $SOL

To Enter:
1⃣ Follow @mrbrown_nft (🔔)
2⃣ RT &amp; Like
3⃣ Drop $SOL address👇

Ends in 24 hours ⏰ #SOLANA #SOL https://t.co/XVXy744YNH",Fri Aug 02 00:19:12 +0000 2024,581,559,solana giveaway prize sol enter follow rt amp like drop sol address ends hours solana sol
12,Tom Bibiyan 🇺🇸,"NGL @BandokidsSOL chart is holding strong with a solid support level here. 

Think I’m gonna get some more today #SOL https://t.co/knWSQfF5fm",Thu Aug 01 21:30:56 +0000 2024,29,63,ngl chart holding strong solid support level here think im gonna get some more today sol
13,Daniel Veroc ⚡️#EGLDSqueeze,"Why I’m all in (5mil$+) on #EGLD. Most scalable &amp; decentralized blockchain (3555 nodes) and world class UI/UX ✅

Why I sold #NEAR, #TON, #ETH, #BTC #AVAX, and why I avoid #SOL and #XRP, etc. I’ve never seen a more asymmetric bet in my life 📈🚀 Check (24) #EGLDSqueeze thread 👇",Thu Aug 01 18:10:25 +0000 2024,71,228,why im all mil egld most scalable amp decentralized blockchain nodes world class uiux why sold near ton eth btc avax why avoid sol xrp etc ive never seen more asymmetric bet my life check egldsqueeze thread
14,MR. BROWN,"💰 SOLANA GIVEAWAY 💰

Prize:
🏆 $15 in $SOL

To Enter:
1⃣ Follow @mrbrown_nft (🔔)
2⃣ RT &amp; Like
3⃣ Drop $SOL address👇

Ends in 24 hours ⏰ #SOLANA #SOL https://t.co/GVRFpx0qBT",Thu Aug 01 17:56:47 +0000 2024,553,531,solana giveaway prize sol enter follow rt amp like drop sol address ends hours solana sol
15,Crypto Data Space,"#Solana (#SOL) Solidifies Its Place In The #Crypto Market Amid ETF Conversations

 https://t.co/FGlGDgqSlT",Thu Aug 01 17:19:36 +0000 2024,9,156,solana sol solidifies its place crypto market amid etf conversations
16,Next 100X GEMS,"🚀 HISTORY MADE! 🚀 For the first time ever, #Solana $SOL has surpassed #Ethereum $ETH in monthly #DEX volume! ☀️
This is a major milestone for the #SOL ecosystem, highlighting its growing popularity and potential. LFG! 🔥💪
#DeFi #Crypto #SolanaSummer https://t.co/08GwAhurad",Thu Aug 01 15:57:13 +0000 2024,66,535,history made first time ever solana sol has surpassed ethereum eth monthly dex volume major milestone sol ecosystem highlighting its growing popularity potential lfg defi crypto solanasummer
17,MartiCoin,"🎁 Claim the $MARTI Airdrop #8! 🪂

1️⃣ : 💟 + 🔁 + Follow @MartiCoinSol 👨‍🚀
2️⃣ : Drop your $SOL wallet + Write hidden word ⬇️

🏆 First 200 wallets 📸

#marticoin #memecoin #crypto #cryptocurrency #sol #solana #presale #airdrop #nft #giveaway https://t.co/ozORQzK3Z6",Thu Aug 01 13:47:38 +0000 2024,169,223,claim marti airdrop follow drop your sol wallet write hidden word first wallets marticoin memecoin crypto cryptocurrency sol solana presale airdrop nft giveaway
