Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,Ghosty.Cash,"You’re not ready what’s coming 🤭😱👻👀

#BTC #TON #SOL",Fri Aug 02 17:53:19 +0000 2024,35,142,youre ready whats coming btc ton sol
2,TON 💎,"🔈 TON will be at @IstanbulBlockWk with an incredible panel at the main venue, diving deep into building Web3 on #TON and the Crypto Revolution inside Telegram. 💎

📅 August 14th
📌 Istanbul
🎙 Speakers:

- @omurcataltepe, Global Business Development Lead at TON Foundation
- https://t.co/8twsWSzAcO",Fri Aug 02 16:21:54 +0000 2024,468,851,ton will be an incredible panel main venue diving deep into building web ton crypto revolution inside telegram august th istanbul speakers global business development lead ton foundation
3,OKX Wallet,"Hey fam, Cryptopedia S22 with @ton_blockchain is live!

An enticing pool of 350k USDT worth of tokens and #TON ecosystem in-game assets await you. 

Exclusively via our app 👇 : 
📲 #OKXWallet &gt; Discover &gt; Cryptopedia
Or just click 🔗  https://t.co/BdkYXgZGHV https://t.co/aI2CF5CK4O",Fri Aug 02 12:01:06 +0000 2024,69,213,hey fam cryptopedia s live an enticing pool k usdt worth tokens ton ecosystem ingame assets await exclusively via our app okxwallet gt discover gt cryptopedia or just click
4,TON 💎,"Want to learn more about games and projects on #TON while earning points &amp; rewards? 👀

Check this out ⬇️",Fri Aug 02 08:39:48 +0000 2024,382,687,want learn more about games projects ton while earning points amp rewards check out
5,PLAN B,"QGame is an Al-driven idle card game platform. #A12Earn 1st In-house Game 'LittleQ': A Tap-to-Play Casual Game with Offline Rewards #Ton #Tap2Earn

Join the community https://t.co/efM7RKKvut https://t.co/DncEyek38x",Fri Aug 02 06:31:23 +0000 2024,106,104,qgame an aldriven idle card game platform aearn st inhouse game littleq taptoplay casual game offline rewards ton tapearn join community
6,CoinMarketCap,"TON: The Open Network's Expanding Universe
https://t.co/ETXnGi0t3f

The Open Network, better known as $TON, has evolved from its roots as a #Telegram-initiated project into a diverse blockchain powerhouse. Let's dive into the expansive world of #TON and discover what makes... https://t.co/QpDWL2Ne0u",Fri Aug 02 02:30:06 +0000 2024,108,314,ton open networks expanding universe open network better known as ton has evolved from its roots as telegraminitiated project into diverse blockchain powerhouse lets dive into expansive world ton discover what makes
7,Daniel Veroc ⚡️#EGLDSqueeze,"Why I’m all in (5mil$+) on #EGLD. Most scalable &amp; decentralized blockchain (3555 nodes) and world class UI/UX ✅

Why I sold #NEAR, #TON, #ETH, #BTC #AVAX, and why I avoid #SOL and #XRP, etc. I’ve never seen a more asymmetric bet in my life 📈🚀 Check (24) #EGLDSqueeze thread 👇",Thu Aug 01 18:10:25 +0000 2024,71,228,why im all mil egld most scalable amp decentralized blockchain nodes world class uiux why sold near ton eth btc avax why avoid sol xrp etc ive never seen more asymmetric bet my life check egldsqueeze thread
8,Marjid Cryptonite,"Guess WAT? ANOTHER FREN hops into WatBird's Lambo! 🚗💨 Growing $WAT family with another #TON project $Yescoin, Big Partnership. Who Else Is Still Following Up With Wat Airdrop? Oya Drop Your Invite Link In The Comment And Retweet.

😎 Earn tickets now by completing new missions https://t.co/PCD4gfCb6L",Thu Aug 01 16:31:29 +0000 2024,65,404,guess wat another fren hops into watbirds lambo growing wat family another ton project yescoin big partnership who else still following up wat airdrop oya drop your invite link comment retweet earn tickets now completing new missions
9,DamX 💎🍭,"Our community is on the TON blockchain 😎

That’s how you recognize a genuine #TON community.

I have many plans for @TonNomads.

We’re just getting started. https://t.co/9g89C7BvQM",Thu Aug 01 16:11:18 +0000 2024,11,87,our community ton blockchain thats how recognize genuine ton community have many plans were just getting started
10,Hamster Alerts,"First 3333 TON wallets will get a #HamsterKombat airdrop 🪂

drop your $TON address 🚀

Must Follow @HamsterAlerts &amp; Repost This Tweet ✅✅

#HamsterKombat #Tapswap $DOGS #Notcoin #TON",Thu Aug 01 14:59:06 +0000 2024,1031,1512,first ton wallets will get hamsterkombat airdrop drop your ton address must follow amp repost tweet hamsterkombat tapswap dogs notcoin ton
