Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,TRON Community,"In July 2024, #TRON incinerated a colossal sum of 159,473,776 #TRX 🔥 equating to an astounding $20 million in value 🤯 https://t.co/J5lRukERi8",Fri Aug 02 00:00:09 +0000 2024,26,127,july tron incinerated colossal sum trx equating an astounding million value
2,Klever Wallet,"🚀 Task to Win $500 in $TRX!

#Stake at least $20 in #TRX in #KleverWallet from July 29th to August 1st and you could be one of the 10 lucky winners to share $500 in #TRX! 📈💰

Download the #KleverWallet at https://t.co/OKcicP3xCf, stake #Tron tokens, and get ready to win! https://t.co/3ChczdZo1E",Mon Jul 29 21:48:55 +0000 2024,59,144,task win trx stake least trx kleverwallet from july th august st could be one lucky winners share trx download kleverwallet stake tron tokens get ready win
3,TRON Community,"#TRON just burned 7,357,577 #TRX on July 27th 🔥 showcasing a commitment to deflation &amp; value growth 🚀 With a net negative production ratio of -2,290,186 🤯 https://t.co/xtkMMP4DRH",Sun Jul 28 11:59:17 +0000 2024,18,116,tron just burned trx july th showcasing commitment deflation amp value growth net negative production ratio
4,TRON Community,"#TRON just burned 9,390,416 #TRX on July 26th 🔥 showcasing a commitment to deflation &amp; value growth 🚀 With a net negative production ratio of -4,325,313 🤯 https://t.co/KKHGzBkhHL",Sat Jul 27 10:28:29 +0000 2024,27,118,tron just burned trx july th showcasing commitment deflation amp value growth net negative production ratio
5,TRON Community,"#TRON just burned 10,104,229 #TRX on July 23rd 🔥 showcasing a commitment to deflation &amp; value growth 🚀 With a net negative production ratio of -5,037,366 🤯 https://t.co/cxoWTdcJBK",Wed Jul 24 09:38:34 +0000 2024,18,117,tron just burned trx july rd showcasing commitment deflation amp value growth net negative production ratio
6,TRON Community,"#TRON just burned 8,633,189 #TRX on July 20th 🔥 showcasing a commitment to deflation &amp; value growth 🚀 With a net negative production ratio of -3,565,622 🤯 https://t.co/za0GeJIIEV",Sun Jul 21 00:07:08 +0000 2024,22,117,tron just burned trx july th showcasing commitment deflation amp value growth net negative production ratio
7,TRON Community,"#TRON just burned 11,011,315 #TRX on July 17th 🔥 showcasing a commitment to deflation &amp; value growth 🚀 With a net negative production ratio of -5,946,212 🤯 https://t.co/yZkos9LduW",Thu Jul 18 00:07:11 +0000 2024,24,123,tron just burned trx july th showcasing commitment deflation amp value growth net negative production ratio
8,TRON Community,"#TRON just burned 11,498,327 #TRX on July 16th 🔥 showcasing a commitment to deflation &amp; value growth 🚀 With a net negative production ratio of -6,433,224 🤯 https://t.co/kS1wNJjRib",Wed Jul 17 04:06:00 +0000 2024,19,121,tron just burned trx july th showcasing commitment deflation amp value growth net negative production ratio
9,H.E. Justin Sun🌞(hiring),"The issuance of TRON USDT has exceeded $60 billion, which is a significant milestone. We have also become the first blockchain with a single stablecoin surpassing $60 billion! #TRX #TRON https://t.co/AM8cK08npP https://t.co/VsFVNGlo2g",Tue Jul 16 07:17:06 +0000 2024,135,797,issuance tron usdt has exceeded billion which significant milestone we have also become first blockchain single stablecoin surpassing billion trx tron
10,Mack.EGLD,"Would you be suprised if #MultiversX was in the top 10? How about the top 5 ? There is nothing #btc , #eth, #bnb , #sol , #xrp , #doge , #ada , #trx or any other project/layer 1  has that #EGLD $EGLD doesnt do better . Its also safer for users with @xPortalApp 2fa guardians. DYOR",Sat Jul 13 14:46:57 +0000 2024,35,118,would be suprised if multiversx was top how about top there nothing btc eth bnb sol xrp doge ada trx or any other projectlayer has egld egld doesnt do better its also safer users fa guardians dyor
11,TRON Community,"#TRON just burned 10,505,529 #TRX on July 12th 🔥 showcasing a commitment to deflation &amp; value growth 🚀 With a net negative production ratio of -5,439,018 🤯 https://t.co/Uw257Lynz0",Sat Jul 13 12:10:45 +0000 2024,23,148,tron just burned trx july th showcasing commitment deflation amp value growth net negative production ratio
12,Crypto elephant,Good morning to all you freakin legends riding along. And good morning to you everyone who recently joined this wild ride. #TRX #Tron https://t.co/RDzuxO4rYZ,Sat Jul 13 06:58:12 +0000 2024,18,99,good morning all freakin legends riding along good morning everyone who recently joined wild ride trx tron
13,H.E. Justin Sun🌞(hiring),Looking forward to #TRX Trust being traded on the public market soon; this will be a significant breakthrough for the entire #TRON ecosystem.👏,Sat Jul 13 06:32:20 +0000 2024,94,385,looking forward trx trust being traded public market soon will be significant breakthrough entire tron ecosystem
