Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,A P O L L O 🛡️ 𝕍,"Sunny Lu the CEO of #VeChain will be joining #BlockchainLife2024 in Dubai.

Over 10,000+ attendees on October 22-23. The AI-powered translation of speeches to 70 languages included for everyone to join and understand.

#VET $VET #VeFam #Crypto #RWA #CryptoCommunity #NFT $VTHO https://t.co/ucoUSsOtWY",Fri Aug 02 15:57:02 +0000 2024,43,163,sunny lu ceo vechain will be joining blockchainlife dubai over attendees october aipowered translation speeches languages included everyone join understand vet vet vefam crypto rwa cryptocommunity nft vtho
2,A P O L L O 🛡️ 𝕍,"Daily reminder that today there are 
3,653,290 (+5,563 from yesterday) $VET active wallet addresses, YOU are one of them and you’re EARLY!

#VeChain is not stopping, the momentum continues…

#VeFam #Crypto #VET #CryptoCommunity #NFT $VTHO",Fri Aug 02 03:09:02 +0000 2024,17,99,daily reminder today there are from yesterday vet active wallet addresses are one them youre early vechain stopping momentum continues vefam crypto vet cryptocommunity nft vtho
3,A P O L L O 🛡️ 𝕍,"#VeChain 𝘅 CCRI 💥

Partnership with Crypto Carbon Ratings Institute (CCRI) to assess the climate &amp; environmental impact of the $VET network. 
This collaboration also aims to meet the sustainability indicators required by the upcoming MiCA regulation. 👀
#VET #VeFam #Crypto #NFT https://t.co/lZR5JKxfC0",Thu Aug 01 13:44:12 +0000 2024,36,141,vechain 𝘅 ccri partnership crypto carbon ratings institute ccri assess climate amp environmental impact vet network collaboration also aims meet sustainability indicators required upcoming mica regulation vet vefam crypto nft
4,A P O L L O 🛡️ 𝕍,"Daily reminder that today there are 
3,647,727 (+2,295 from yesterday) $VET active wallet addresses, YOU are one of them and you’re EARLY!

#VeChain is not stopping, the momentum continues…

#VeFam #Crypto #VET #CryptoCommunity #NFT $VTHO",Thu Aug 01 01:38:07 +0000 2024,10,85,daily reminder today there are from yesterday vet active wallet addresses are one them youre early vechain stopping momentum continues vefam crypto vet cryptocommunity nft vtho
5,Crypto News Flash,"Active Contracts on #VeChain Platform Explode as Sustainability Actions Worldwide Take Off
#VET $VET
https://t.co/uRAVW6azlk",Wed Jul 31 19:12:12 +0000 2024,25,125,active contracts vechain platform explode as sustainability actions worldwide take off vet vet
6,A P O L L O 🛡️ 𝕍,"2 days in week 5 of voting on #VeBetterDAO &amp; we are sitting at 33k of voters. 👀 

That 50k is coming sooner than we think.

Cast your vote, do sustainable actions &amp; get rewarded B3TR tokens. 
It’s that simple. #VeChain

#VET $VET #VeFam #Crypto #RWA #CryptoCommunity #NFT $VTHO https://t.co/FvjwkrYW1t",Wed Jul 31 11:46:54 +0000 2024,13,79,days week voting vebetterdao amp we are sitting k voters k coming sooner than we think cast your vote do sustainable actions amp get rewarded btr tokens its simple vechain vet vet vefam crypto rwa cryptocommunity nft vtho
7,Collin Brown,"🚀🚀 #VeChain is on fire! 🔥 Active Contracts are skyrocketing, reaching new heights! 🚀🚀 

It's all about the contracts that are actively executing EVM operations, fueled by incoming transactions (TXns in)! 📈  

VeChain and Vefam, you're rocking it! 💪 #VeChain #VET #Vefam https://t.co/I7nDU81ZsB",Wed Jul 31 07:41:04 +0000 2024,39,145,vechain fire active contracts are skyrocketing reaching new heights its all about contracts are actively executing evm operations fueled incoming transactions txns vechain vefam youre rocking vechain vet vefam
8,A P O L L O 🛡️ 𝕍,"Daily reminder that today there are 
3,645,432 (+5,288 from yesterday) $VET active wallet addresses, YOU are one of them and you’re EARLY!

Keep them coming. #VeChain is not stopping, the momentum continues…

#VeFam #Crypto #VET #CryptoCommunity #NFT $VTHO",Wed Jul 31 01:37:55 +0000 2024,16,103,daily reminder today there are from yesterday vet active wallet addresses are one them youre early keep them coming vechain stopping momentum continues vefam crypto vet cryptocommunity nft vtho
9,A P O L L O 🛡️ 𝕍,"#Vechain featured in a Blockchain for Sustainability article.

VeChain illustrates how #blockchain technology can be applied beyond financial transactions to promote eco-friendly practices &amp; enhance sustainability across various sectors.

#VET $VET #VeFam #Crypto #RWA #NFT $VTHO https://t.co/weBqKOIKUP",Tue Jul 30 08:19:44 +0000 2024,11,88,vechain featured blockchain sustainability article vechain illustrates how blockchain technology can be applied beyond financial transactions promote ecofriendly practices amp enhance sustainability across various sectors vet vet vefam crypto rwa nft vtho
10,A P O L L O 🛡️ 𝕍,"Daily reminder that today there are 
3,640,144 (+4,825 from yesterday) $VET active wallet addresses, YOU are one of them and you’re EARLY!

Keep them coming. #VeChain is not stopping, the momentum continues…

#VeFam #Crypto #VET #CryptoCommunity #NFT $VTHO",Tue Jul 30 01:26:54 +0000 2024,12,96,daily reminder today there are from yesterday vet active wallet addresses are one them youre early keep them coming vechain stopping momentum continues vefam crypto vet cryptocommunity nft vtho
11,J316👑,"If you love ANY or ALL or SOME of these then we need to be following each other. 

#TogetherWeWIN

$XRP #XRP
$XLM #XLM
$XDC #XDC
$SHX #SHX
$VELO #VELO
$NLT #NLT
$WTK #WTK
$XAU #XAU
$DAG #DAG
$SOLO #SOLO
$COREUM #COREUM
$ATOM #ATOM
$CSPR #CSPR
$HBAR #HBAR
$VET #VET
$IOTA #IOTA",Mon Jul 29 20:49:29 +0000 2024,17,134,if love any or all or some these then we need be following each other togetherwewin xrp xrp xlm xlm xdc xdc shx shx velo velo nlt nlt wtk wtk xau xau dag dag solo solo coreum coreum atom atom cspr cspr hbar hbar vet vet iota iota
12,Crypto Yapper,"$VET Bullish Retest ! 🚀

I've been warning you about this break out for #VET

We broke out of the Falling Channel and retest previous resistance as support

On the retest you could've entered the market in a Long and you would've made a significant gain already!

#Vechain 🔥 https://t.co/jBhJweRcC9",Mon Jul 29 14:58:00 +0000 2024,16,102,vet bullish retest ive been warning about break out vet we broke out falling channel retest previous resistance as support retest couldve entered market long wouldve made significant gain already vechain
13,Lucas Ⓥ,"Active Contracts on #VeChainThor blockchain are jumping through the roof 🚀
Chart📈 represents contracts that actively execute EVM operations by incoming transactions (TXns in)

Source: https://t.co/uYxkfQcDUh

#VeChain #VET #Vefam https://t.co/EliBLLKKQu",Mon Jul 29 11:20:27 +0000 2024,34,153,active contracts vechainthor blockchain are jumping through roof chart represents contracts actively execute evm operations incoming transactions txns source vechain vet vefam
14,A P O L L O 🛡️ 𝕍,"Daily reminder that today there are 
3,635,319 (+11,340 from yesterday) $VET active wallet addresses, YOU are one of them and you’re EARLY!

Another day over 10k of wallets created #VeChain is not stopping, the momentum continues…

#VeFam #Crypto #VET #CryptoCommunity #NFT $VTHO",Mon Jul 29 01:09:59 +0000 2024,30,155,daily reminder today there are from yesterday vet active wallet addresses are one them youre early another day over k wallets created vechain stopping momentum continues vefam crypto vet cryptocommunity nft vtho
15,A P O L L O 🛡️ 𝕍,"#VeChain is the only way.

The real OG #RWA.

#VET $VET #VeFam #Crypto #VTHO #CryptoCommunity #NFT $VTHO https://t.co/4W8ACpSgiD",Sun Jul 28 13:17:51 +0000 2024,6,84,vechain only way real og rwa vet vet vefam crypto vtho cryptocommunity nft vtho
