Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,Crypto Hulk,"SOME VERY BIG MOVES IN THE WORLD TODAY…STOCK MARKET DIMP, CIRCLR/STELLAR IPO, DATA BREACH, and BLACKROCK!!                                      #BREAKING #XRP #XLM #XDC #ALGO #Quant #IOTA #HBAR #Ripple #Crypto #cryptocurrency #cryptotrading #XRPHolders #XRPLedger https://t.co/hC29UHAtaj",Fri Aug 02 00:44:12 +0000 2024,52,235,some very big moves world todaystock market dimp circlrstellar ipo data breach blackrock breaking xrp xlm xdc algo quant iota hbar ripple crypto cryptocurrency cryptotrading xrpholders xrpledger
2,Zain Haider,"Everybody click ♡ and ♻️ if you believe in #XLM OR #XRP even in the dip.

$XLM $XRP 🚀🌖 https://t.co/18b2ST7pb9",Thu Aug 01 14:05:26 +0000 2024,50,360,everybody click if believe xlm or xrp even dip xlm xrp
3,TokenGlade,"🚀 TokenGlade #Airdrop Alert on #Stellar #XLM Blockchain! 🚀

Complete these tasks to earn $20 worth of $TKG tokens:

1⃣ Follow @TokenGlade
2⃣ Like &amp; Retweet our Pinned Tweet
3⃣ Like &amp; Retweet this Tweet
4⃣ Create a Trustline for TKG (Asset Details Below)
5⃣ Fill the form https://t.co/chNLPZPlcl",Thu Aug 01 11:38:08 +0000 2024,785,814,tokenglade airdrop alert stellar xlm blockchain complete these tasks earn worth tkg tokens follow like amp retweet our pinned tweet like amp retweet tweet create trustline tkg asset details below fill form
4,DicInu Token 🐶🧡🦴,"We are that #Stellar dog that just won’t quit, &amp; DicInu will always have you coming back for more!

#xlm",Thu Aug 01 05:39:53 +0000 2024,5,59,we are stellar dog just wont quit amp dicinu will always have coming back more xlm
5,KINGVALEX,"𝐑𝐈𝐏𝐏𝐋𝐄 &amp; 𝐒𝐓𝐄𝐋𝐋𝐀𝐑 

“ US TREASURY ROUND TABLE MEETING “ 

DEEP EXPLANATION. 

THANKS FOR ANSWERING MS. DIXON. 

#Crypto #XLM $XRP https://t.co/nraVguiKHT",Thu Aug 01 02:10:14 +0000 2024,69,242,𝐑𝐈𝐏𝐏𝐋𝐄 amp 𝐒𝐓𝐄𝐋𝐋𝐀𝐑 us treasury round table meeting deep explanation thanks answering ms dixon crypto xlm xrp
6,Crypto Hulk,BUSTED…RIPPLE XRP CEO BRAD GARLINGHOUSE CAUGHT INFLUENCING FEDERAL ELECTIONS?  #BREAKING #XRP #XLM #XDC #ALGO #Quant #IOTA #HBAR #Ripple #Crypto #cryptocurrency #cryptotrading #XRPHolders #XRPLedger https://t.co/Qi4FmX4u4a,Wed Jul 31 18:48:38 +0000 2024,50,204,bustedripple xrp ceo brad garlinghouse caught influencing federal elections breaking xrp xlm xdc algo quant iota hbar ripple crypto cryptocurrency cryptotrading xrpholders xrpledger
7,Crypto Hulk,BUSTED…WATCH HOW RIPPLE XRP CRYPTO BRAD GARLINGHOUSE INFLUENCES THIS ELECTION!!       #BREAKING #XRP #XLM #XDC #ALGO #Quant #IOTA #HBAR #Ripple #Crypto #cryptocurrency #cryptotrading #XRPHolders #XRPLedger https://t.co/7Shwfu49PW,Wed Jul 31 18:37:39 +0000 2024,41,155,bustedwatch how ripple xrp crypto brad garlinghouse influences election breaking xrp xlm xdc algo quant iota hbar ripple crypto cryptocurrency cryptotrading xrpholders xrpledger
8,Crypto Hulk,EXPOSED…NORWAY HAS HAD A RIPPLE XRP CRYPTO EXCHANGE SINCE 2013…I HAVE THE NAME!!                         #BREAKING #XRP #XLM #XDC #ALGO #Quant #IOTA #HBAR #Ripple #Crypto #cryptocurrency #cryptotrading #XRPHolders #XRPLedger https://t.co/Xdxod1akbW,Wed Jul 31 18:27:14 +0000 2024,47,161,exposednorway has had ripple xrp crypto exchange since have name breaking xrp xlm xdc algo quant iota hbar ripple crypto cryptocurrency cryptotrading xrpholders xrpledger
9,Crypto Hulk,THE RIPPLE XRP CRYPRO PLATFORM IS NOT TRULY DECENTRALIZED. TRANSACTIONS CAN BE FROZEN!!  #BREAKING #XRP #XLM #XDC #ALGO #Quant #IOTA #HBAR #Ripple #Crypto #cryptocurrency #cryptotrading #XRPHolders #XRPLedger https://t.co/VGkyLWxzzh,Wed Jul 31 18:14:15 +0000 2024,64,257,ripple xrp crypro platform truly decentralized transactions can be frozen breaking xrp xlm xdc algo quant iota hbar ripple crypto cryptocurrency cryptotrading xrpholders xrpledger
10,Crypto Hulk,EXPOSED…RUSSIA TO LAUNCH THEIR VERSION OF THE CURRENT “SWIFT GLOBAL PAYMENT SYSTEM.”      #BREAKING #XRP #XLM #XDC #ALGO #Quant #IOTA #HBAR #Ripple #Crypto #cryptocurrency #cryptotrading #XRPHolders #XRPLedger https://t.co/RglFcN2inK,Wed Jul 31 03:41:39 +0000 2024,45,215,exposedrussia launch their version current swift global payment system breaking xrp xlm xdc algo quant iota hbar ripple crypto cryptocurrency cryptotrading xrpholders xrpledger
