Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,maestroiani,"Envisioned by cypherpunks, Monero is not just a currency; it's a testament to the belief that privacy is a human right, and that preserving it is fundamental to a free society. #Monero #XMR https://t.co/MQH7BhTYtW",Mon Jul 29 21:37:22 +0000 2024,26,122,envisioned cypherpunks monero just currency its testament belief privacy human right preserving fundamental free society monero xmr
2,Sean | P2P digital cash,"I’ve used #BTC #BCH #LTC, #XMR, Kas, Nano, Dash, XEC. 

Every single one is superior against Bitcoin core as digital cash.",Mon Jul 29 17:24:13 +0000 2024,12,181,ive used btc bch ltc xmr kas nano dash xec every single one superior against bitcoin core as digital cash
3,Xmr Street,"Please don't ask me to be bearish!!

Import your view wallet as a QRcode from your cold storage of @XmrSigner to your hot wallet like @MoneroCom to keep an eye on your savings.✅🫡

Work on offline signatures is also close to being completed.⏳ #Monero #XMR https://t.co/4REhMuw9cb",Sun Jul 28 14:27:40 +0000 2024,18,126,please dont ask me be bearish import your view wallet as qrcode from your cold storage your hot wallet like keep an eye your savings work offline signatures also close being completed monero xmr
4,maestroiani,"All of us need a personal Monero Strategic Reserve. Buy, spend and save Monero. #Monero #XMR https://t.co/KsX2kb41L1",Sat Jul 27 22:29:53 +0000 2024,17,150,all us need personal monero strategic reserve buy spend save monero monero xmr
5,maestroiani,Monero doesn't need endorsement from politicians. Monero is people's money! Freedom money! #Monero #XMR https://t.co/f52C3FtqHT,Sat Jul 27 20:39:55 +0000 2024,29,171,monero doesnt need endorsement from politicians monero peoples money freedom money monero xmr
6,maestroiani,"Those who know accept Monero, those who don't become irrelevant @ProtonPrivacy  @ProtonMail  @ProtonWallet #Monero #XMR https://t.co/yr2p2RHrhr",Wed Jul 24 18:22:00 +0000 2024,23,127,those who know accept monero those who dont become irrelevant monero xmr
7,Lixin Liu,"Update for @Monero community - 

We just had a quick call with @cakewallet team (@tuxpizza &amp; others) and will start working on #XMR support soon.

Will share an ETA for the integration when everything is more clear.",Thu Jul 18 14:19:46 +0000 2024,19,93,update community we just had quick call team amp others will start working xmr support soon will share an eta integration when everything more clear
8,ShopinBit,"What has happened here?? 😅 Our stats for June are here and the results are, well, see for yourself:

#Monero 74,54 %
#Bitcoin   23,64 %
#LightningNetwork  1,73 %
FIAT 0,08 %

#BTCNews #XMR #Crypto #cryptocurrencies #CryptoNews #BTC https://t.co/lY1y4uf3Es",Fri Jul 12 06:38:05 +0000 2024,36,192,what has happened here our stats june are here results are well see yourself monero bitcoin lightningnetwork fiat btcnews xmr crypto cryptocurrencies cryptonews btc
9,Xmr Street,"With the release of the @XmrSigner software just around the corner, I started laying the foundations for a model that anyone could use to manufacture using a 3D, with no external dependencies. #Monero #XMR https://t.co/AhrIKa2URH",Mon Jul 08 13:37:50 +0000 2024,20,122,release software just around corner started laying foundations model anyone could use manufacture using d no external dependencies monero xmr
10,Coincards.com - Buy Gift Cards with Bitcoin!,"Here's a breakdown of usage (by $ volume) on Coincards by percentage in June '24:  

#XMR: 34.4%
#BTC (Onchain): 25.96%
#USDC: 20.20%
#ETH: 9.84%
#LTC: 2.49%
#Solana: 2.31%
#Dogecoin: 2.09%
#LightningNetwork: 2.08%
#USDT: 0.58%
#Dai: 0.04%
#Matic: 0.01%
#Dash: 0%",Sat Jul 06 21:33:08 +0000 2024,42,162,heres breakdown usage volume coincards percentage june xmr btc onchain usdc eth ltc solana dogecoin lightningnetwork usdt dai matic dash
11,Vik Sharɱa 🇺🇸,"Excellent #XMR buying opportunity! #monero

(I mean if one were an xmr buyer which I’m clearly not.  This is not an admission of anything.).",Fri Jul 05 09:28:00 +0000 2024,3,86,excellent xmr buying opportunity monero mean if one were an xmr buyer which im clearly an admission anything
12,Kazonomics,Remember when we told u strong #Xmr was not a good thing 4 #crypto ya we left a lot of clues u just gotta pay attention #monero = safe haven 4 🐳’s not trying 2 return 2 fait which are u mega OG’s who never plan on leaving the crypto economy the oldest &amp; biggest 💰 in the game🕵️‍♂️,Fri Jul 05 06:28:38 +0000 2024,55,82,remember when we told u strong xmr was good thing crypto ya we left lot clues u just gotta pay attention monero safe haven s trying return fait which are u mega ogs who never plan leaving crypto economy oldest amp biggest game
13,Vik Sharɱa 🇺🇸,"Well, time to buy.  #Bitcoin #XMR, #ETH, #SOL, #ZANO, #LTC, #RUNE , #ZCASH",Thu Jul 04 08:19:25 +0000 2024,17,117,well time buy bitcoin xmr eth sol zano ltc rune zcash
14,Xmr Street,"Fun fact, there is no such thing as a crypto wallet, they are signers, but you are not ready to accept it because there are still people who think their crypto is in their app or inside their ""hardware wallet"". Let's make this space fun again. #Monero #XMR",Wed Jul 03 16:19:27 +0000 2024,5,88,fun fact there no such thing as crypto wallet they are signers but are ready accept because there are still people who think their crypto their app or inside their hardware wallet lets make space fun again monero xmr
15,The Fast One,"Say whatever you want about Monero. But there is literally no other currency that has been delisted, beat up and shunned like XMR and still lives.
There are obviously people using it around the world for actual things, which cannot be said for most other cryptocurrencies.
#XMR https://t.co/R4nM6qZ1mA",Wed Jul 03 16:02:50 +0000 2024,45,260,say whatever want about monero but there literally no other currency has been delisted beat up shunned like xmr still lives there are obviously people using around world actual things which cannot be said most other cryptocurrencies xmr
