Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
1,CryptoGeek,"🚨BREAKING: Bank of Canada Reaches Deal with Ripple to use #XRP for Payments. 

The XRPL is on the brink of a significant surge. Consider the exclusive #DeFi token on #XRPL, the CTF token, which has recently surged by 145%, now priced at just $0.83!

If @TokenCTF reached the same https://t.co/LhSPslAYpD",Fri Aug 02 22:42:31 +0000 2024,150,590,breaking bank canada reaches deal ripple use xrp payments xrpl brink significant surge consider exclusive defi token xrpl ctf token which has recently surged now priced just if reached same
2,Whale Alert,"🔓 🔓 🔓 🔓 🔓 🔓 🔓 🔓 🔓 🔓  500,000,000 #XRP (281,693,718 USD) unlocked from escrow at unknown wallet

https://t.co/k9LaztYrx5",Fri Aug 02 22:38:13 +0000 2024,92,596,xrp usd unlocked from escrow unknown wallet
3,JD 🇵🇭,"#XRP/BTC - ignore the ""noise"" from influencers &amp; focus on the TA!

Whenever RSI touches trendline:
2017 - 600x in 1 year!
2021 - 10x in 6 months!
2024 - ??? (RSI touched trendline again!)

Retweet/Like for $XRP.D update! 
I called bottom, I will call the TOP next! https://t.co/izMomlRsIG",Fri Aug 02 20:36:48 +0000 2024,80,445,xrpbtc ignore noise from influencers amp focus ta whenever rsi touches trendline x year x months rsi touched trendline again retweetlike xrpd update called bottom will call top next
4,Levi | Crypto Crusaders,"If you're holding #XRP until it reaches $10,000 and beyond, 

hit the like button❤️! https://t.co/HTyX3DB8CT",Fri Aug 02 20:10:00 +0000 2024,83,1081,if youre holding xrp until reaches beyond hit like button
5,JackTheRippler ©️,"We anticipate Judge Torres's decision to be delivered this month! #XRP

💥 THE END IS NEAR 💥 https://t.co/cRCHO3DO7Y",Fri Aug 02 20:08:05 +0000 2024,139,780,we anticipate judge torress decision be delivered month xrp end near
6,XRP_Annonymous,"Quitting on $XRP now is the worst time to do so 

Because we are really close than ever 

#XRP https://t.co/S1xH85LDYy",Fri Aug 02 19:34:26 +0000 2024,46,336,quitting xrp now worst time do so because we are really close than ever xrp
7,NotFinancialAdvice.Crypto,"Idk who needs to hear this but #Bitcoin and #XRP are going to succeed together. They are complimentary systems. One, proof of work, which gives these tokens actual value through real-world energy output, and the other, a consensus algorithm, to move these energy-backed tokens of https://t.co/bhUvYEmzjv",Fri Aug 02 18:22:01 +0000 2024,358,1463,idk who needs hear but bitcoin xrp are going succeed together they are complimentary systems one proof work which gives these tokens actual value through realworld energy output other consensus algorithm move these energybacked tokens
8,JackTheRippler ©️,"💎DIAMOND HANDS🙌

Hit that like button if you are still holding #XRP! https://t.co/utTpznn50L",Fri Aug 02 18:22:00 +0000 2024,91,821,diamond hands hit like button if are still holding xrp
9,WrathofKahneman,"From the Q2 #Ripple Markets report. In a down qtr for everything, the avg daily spot volume against $USD for #XRP remains solid, especially in comparison. 
  1/2 https://t.co/3tBWgQeLNH",Fri Aug 02 18:10:48 +0000 2024,51,291,from q ripple markets report down qtr everything avg daily spot volume against usd xrp remains solid especially comparison
10,JackTheRippler ©️,"🚨BREAKING: The new stablecoin $RLUSD will be available on the #XRP Ledger (XRPL) and Ethereum (ETH) blockchains, with plans to expand to additional blockchains and decentralized finance protocols and apps over time!

 https://t.co/veUdywYGxg",Fri Aug 02 16:32:34 +0000 2024,87,281,breaking new stablecoin rlusd will be available xrp ledger xrpl ethereum eth blockchains plans expand additional blockchains decentralized finance protocols apps over time
11,𝓐𝓶𝓮𝓵𝓲𝓮,"🚨 BREAKING:

Japan sees biggest daily drop since Black Monday in 1987! 🎌

But it’s coming: By 2025, every bank in Japan will use #XRP – something big has to happen before then!

https://t.co/sbx83x01VM https://t.co/537ksRN4Ql",Fri Aug 02 16:24:38 +0000 2024,268,909,breaking japan sees biggest daily drop since black monday but its coming every bank japan will use xrp something big has happen before then
12,JackTheRippler ©️,"Brad Garlinghouse: The SEC v. @Ripple case will likely end this summer!

#XRP WILL PUMP THE HARDEST 

Leave a like if you are ready for that! https://t.co/YUilEsN9eI",Fri Aug 02 16:10:18 +0000 2024,132,742,brad garlinghouse sec v case will likely end summer xrp will pump hardest leave like if are ready
13,XRP CAPTAIN,What Are Your #XRP Price Predictions On The Judgement Day #Ripple Vs #Sec ? https://t.co/eMPSvYkIj4,Fri Aug 02 16:08:25 +0000 2024,63,448,what are your xrp price predictions judgement day ripple vs sec
14,𝓐𝓶𝓮𝓵𝓲𝓮,"🚨BREAKING:

The US stock market collapses, $2.9 trillion wiped out this morning! 📉

Remember that the old system needs to collapse for #XRP to rise from the ashes like a phoenix! 🕊️ 

Don’t sell your diamonds! 💎 https://t.co/GdtF6TnFNv",Fri Aug 02 15:41:28 +0000 2024,284,1092,breaking us stock market collapses trillion wiped out morning remember old system needs collapse xrp rise from ashes like phoenix dont sell your diamonds
15,Whale Alert,"🚨  24,134,425 #XRP (13,458,828 USD) transferred from #Binance to unknown wallet

https://t.co/9ji5KUMGEu",Fri Aug 02 15:40:28 +0000 2024,52,368,xrp usd transferred from binance unknown wallet
16,JackTheRippler ©️,🚨BREAKING: The #XRP SEC settlement rumors resurfaced with 500 million XRP unlocked today. This comes amid heightened odds of the remedies phase final ruling. https://t.co/wjehuzg2cb,Fri Aug 02 15:14:59 +0000 2024,115,517,breaking xrp sec settlement rumors resurfaced million xrp unlocked today comes amid heightened odds remedies phase final ruling
17,𝓐𝓶𝓮𝓵𝓲𝓮,"⚠️ RIPPLE SEC SETTLEMENT: 

500M #XRP UNLOCKED AMID FINAL RULING ODDS! ⚖️

They have suggested that the remedies phase ruling may come in the first half of August! 

https://t.co/qrIEQDtDAX",Fri Aug 02 14:03:38 +0000 2024,187,815,ripple sec settlement m xrp unlocked amid final ruling odds they have suggested remedies phase ruling may come first half august
