Date,Price (USD),Market Cap,Volume
2024-06-30,1.698258895029487e-05,10008631358.725235,146758666.08225498
2024-06-30,1.731737865587086e-05,10186720713.638584,158769353.90019995
2024-07-01,1.7219845852107766e-05,10131654248.99649,163063847.6044014
2024-07-01,1.724568659543473e-05,10157569326.081684,158509607.5513255
2024-07-01,1.7496682419168994e-05,10270353224.546457,174739805.53203318
2024-07-01,1.7482330028496424e-05,10301130923.85063,175166870.1438797
2024-07-01,1.7461919459861602e-05,10288956570.270042,172816316.17950284
2024-07-01,1.740781363034117e-05,10263969520.37944,171783662.20208815
2024-07-01,1.7390187676044252e-05,10238411514.00469,177904370.0660836
2024-07-01,1.732056956935589e-05,10216681317.803194,177255427.44992703
2024-07-01,1.7338869472424555e-05,10237192860.731947,175196114.7521517
2024-07-01,1.720052184057443e-05,10124207707.440039,174926608.15091872
2024-07-01,1.7189800330628146e-05,10130162707.559177,175546490.81436032
2024-07-01,1.7119883511405356e-05,10098939737.789993,175799324.25729457
2024-07-01,1.7004932029437595e-05,10025490147.115704,180924728.98038444
2024-07-01,1.710368988508113e-05,10078940878.844433,181197213.8377772
2024-07-01,1.6993810717327074e-05,10025484998.279627,186919467.7372124
2024-07-01,1.7065145434195926e-05,10055842078.563303,193794572.7700686
2024-07-01,1.704982154803312e-05,10025671111.751657,197493830.1201942
2024-07-01,1.710652245861984e-05,10080223987.57733,198376204.2274831
2024-07-01,1.7256475573936035e-05,10175789307.289473,194969075.41525796
2024-07-01,1.725435907336863e-05,10166381624.091713,201288357.74326813
2024-07-01,1.722863519729004e-05,10152180386.275167,197869652.68655202
2024-07-01,1.7248012559394132e-05,10161272713.283463,202243692.74281377
2024-07-01,1.718971300395233e-05,10130431268.797281,200828466.4366932
2024-07-01,1.712636283618903e-05,10079096264.630247,191424675.9591761
2024-07-02,1.7074562474458407e-05,10060135045.687323,195288430.7819104
2024-07-02,1.706969813105371e-05,10050606000.299997,191112455.68338326
2024-07-02,1.708678270121061e-05,10063764845.512985,178526978.5821802
2024-07-02,1.7093214576545626e-05,10058360582.399143,174469688.4988228
2024-07-02,1.7184956961699343e-05,10124487636.388216,168332167.2920914
2024-07-02,1.7162569852843003e-05,10113470573.495396,174206205.6339954
2024-07-02,1.7178004777148783e-05,10122371726.019157,175223108.44278726
2024-07-02,1.7111414023184798e-05,10077435438.17091,169108996.96577513
2024-07-02,1.7091536422163673e-05,10071123139.740189,174773823.73524693
2024-07-02,1.7094022724137004e-05,10079983565.214855,163406148.07952324
2024-07-02,1.7107655403917367e-05,10085198237.557981,160511971.261068
2024-07-02,1.717960042135913e-05,10119610469.776703,157064707.70199034
2024-07-02,1.7284629766688386e-05,10182660264.672682,160919803.820666
2024-07-02,1.7307812182105826e-05,10224634620.450464,160147096.1052052
2024-07-02,1.719610838043645e-05,10121541743.967585,156449967.28891325
2024-07-02,1.701855527198018e-05,10028388265.025084,160961759.5455397
2024-07-02,1.699864233051873e-05,10014596733.401867,160747482.61413845
2024-07-02,1.6991238177401867e-05,10016428427.168087,159193242.41610175
2024-07-02,1.70444116397089e-05,10024188976.56195,161489733.08432403
2024-07-02,1.7180706976011697e-05,10124508125.59538,161464667.2968012
2024-07-02,1.7148945607651242e-05,10091781929.51472,160396099.75900397
2024-07-02,1.7143348940206182e-05,10100044994.022125,159784554.74367645
2024-07-02,1.7199488078618973e-05,10117193705.472385,160155287.13508847
2024-07-02,1.7231081593199284e-05,10125537362.282236,157230988.50387758
2024-07-03,1.7229315345811882e-05,10144876453.211922,158446046.60386783
2024-07-03,1.7341775666320906e-05,10238651803.608156,176815914.23307082
2024-07-03,1.7145927083558393e-05,10188059682.360344,181294368.68586472
2024-07-03,1.711630740365774e-05,10084328970.059227,170186457.6868102
2024-07-03,1.6927743175219056e-05,10004883312.75327,182035119.2018296
2024-07-03,1.6853943153818848e-05,9912198961.46119,185025952.85479957
2024-07-03,1.6959581848189656e-05,9993637166.06262,189788743.04903525
2024-07-03,1.694407563560553e-05,9990776470.36786,189436538.91208607
2024-07-03,1.6874943030905987e-05,9941155839.32351,189555796.81228894
2024-07-03,1.6842531923240557e-05,9915262230.350916,193290712.04092252
2024-07-03,1.6807950716181362e-05,9909410586.960659,195172693.20757103
2024-07-03,1.6655797580744406e-05,9831558168.49149,181960981.96480018
2024-07-03,1.6579030246432497e-05,9783852990.420593,220328970.6918537
2024-07-03,1.6448276579322686e-05,9706405172.44164,223675986.57257628
2024-07-03,1.6668484280526884e-05,9822104429.982647,232662759.5601337
2024-07-03,1.650651447294051e-05,9748771753.357666,224296689.11569414
2024-07-03,1.6457319604995733e-05,9690406431.033154,223522556.34891883
2024-07-03,1.654949846280357e-05,9747908001.488783,215579805.02099687
2024-07-03,1.6459703331239948e-05,9675711511.44406,224348833.4517692
2024-07-03,1.6425429839053622e-05,9692871522.66138,247973400.3567783
