Date,Price (USD),Market Cap,Volume
2024-06-30,61915.40014552283,9468702107.134377,111551648.8879629
2024-06-30,62768.8588683073,9603922479.577435,128848249.96606593
2024-07-01,62582.275885538074,9585612779.127476,132651222.66873413
2024-07-01,63149.387762772334,9605208171.673927,138599088.68955466
2024-07-01,63532.06718131254,9714824194.934666,220747199.2932824
2024-07-01,63287.549303741616,9683009976.017122,266323704.4962461
2024-07-01,63359.59161364839,9686415315.34006,270874945.617224
2024-07-01,63238.70411804547,9673033846.006313,271203804.9768204
2024-07-01,63255.8859072839,9679265696.58927,249641677.57044178
2024-07-01,63250.59088081637,9674611559.715498,271763422.1721043
2024-07-01,63218.252489104205,9668183004.67369,262979802.18675926
2024-07-01,62884.336213012524,9630732084.746101,256645826.5590857
2024-07-01,62840.528935030445,9615845264.87061,254420196.38915765
2024-07-01,62749.83095864014,9617847182.66697,256089998.35303676
2024-07-01,62618.40512383911,9581952730.836058,258471629.14010885
2024-07-01,62786.55987436029,9621183476.185966,259532237.81555036
2024-07-01,62706.79904195019,9592293999.008228,265984180.70615834
2024-07-01,62773.75355652114,9593910812.284515,285407934.49411416
2024-07-01,62940.24663606902,9608849027.65515,291825946.9037101
2024-07-01,62987.52503072615,9645399372.522854,301182032.22212917
2024-07-01,63289.15409364092,9693964596.344635,310109174.6401595
2024-07-01,63411.245559584844,9693037275.484938,326828393.68681145
2024-07-01,63224.868542004864,9677378878.227154,334963655.51908916
2024-07-01,63228.89499269051,9673022161.669744,330606366.5712078
2024-07-01,62959.60722243686,9659443570.076637,328777947.12358415
2024-07-01,62961.99193549616,9635023919.668337,321731972.17425865
2024-07-02,62663.27715445725,9615489298.410912,316401200.8487952
2024-07-02,62903.18095812839,9627984919.726557,311443865.9606097
2024-07-02,62900.79661793524,9625131943.987906,208900359.89535615
2024-07-02,62968.99715659547,9635104039.078072,198620801.56919703
2024-07-02,63075.08712120083,9656429839.943048,196650621.22029778
2024-07-02,62946.91719773041,9632468417.914062,196913239.04792264
2024-07-02,62900.67615013501,9625146223.642252,191774036.41592094
2024-07-02,62793.93856262442,9614810773.173767,192331863.65761492
2024-07-02,62549.94485155011,9565933721.762224,195436191.2874747
2024-07-02,62690.029490593544,9582746481.378033,190849221.08802807
2024-07-02,62449.16444447855,9563614774.896307,192736152.8101166
2024-07-02,62616.38699471363,9581745811.04091,191630421.04601127
2024-07-02,62669.48271420128,9591378130.77686,190069054.64304924
2024-07-02,62800.404403957895,9598088833.043266,192087345.79528722
2024-07-02,62581.90504728868,9576520707.872038,190768246.47806117
2024-07-02,62076.71813401177,9492401592.383923,183894228.6453566
2024-07-02,61712.44369912399,9454301365.58456,184927262.6897258
2024-07-02,61907.12579773393,9472360711.206858,176997338.59254998
2024-07-02,62206.69310833602,9482313238.425062,164847142.4378692
2024-07-02,62149.03273412022,9522039201.163158,148933704.3376262
2024-07-02,61933.73378287029,9460856124.199919,144512830.23246098
2024-07-02,61933.92376656004,9481167267.826471,142611220.43771648
2024-07-02,61972.306495924946,9485151178.584652,140330896.44305968
2024-07-02,62074.078529544044,9494413905.760399,132487036.71368317
2024-07-03,62082.35633595449,9493247843.616684,133901582.55091402
2024-07-03,61961.95295998231,9487786964.349834,131383050.93924348
2024-07-03,61493.509912195215,9417642574.693195,135798503.99082494
2024-07-03,61222.20918106839,9376250308.570457,130570017.24794534
2024-07-03,60866.18757640092,9315572984.083555,134835692.35818097
2024-07-03,60933.11101551812,9314868287.894997,133867593.41003197
2024-07-03,61064.93651991024,9333753500.69603,134580906.13153854
2024-07-03,60965.743653983234,9330755236.237768,137744203.24348646
2024-07-03,60713.7736107562,9293436686.281233,149733511.15557343
2024-07-03,60550.036804423005,9262645166.847822,156849952.57059416
2024-07-03,60459.9915883641,9261052412.679092,159761074.78853294
2024-07-03,60185.94095717372,9209733786.288603,180604143.89281812
2024-07-03,60147.9680083876,9203589694.569975,185700118.16882834
2024-07-03,59971.64822123707,9171982342.451431,193743444.91026282
2024-07-03,60405.69368922913,9250757699.820938,196453453.63794136
2024-07-03,59969.801452981745,9176659828.10749,193850761.9118259
2024-07-03,60080.00109178906,9192495549.006104,192488528.30716664
2024-07-03,60417.90140883512,9242879911.586454,196641283.78415605
2024-07-03,60317.44964936929,9228494858.541922,202995873.14460954
2024-07-03,60102.64699814505,9208304265.227135,213432828.94709834
2024-07-03,59858.729735514615,9148466058.42716,231027062.09848067
2024-07-03,59808.34631039767,9152050207.930033,237611546.72291455
2024-07-03,59909.87712175811,9170837721.07958,246449305.6954713
2024-07-03,60220.32070904328,9214350123.105299,251825236.5584598
2024-07-04,60178.99374175202,9208670714.023348,248709452.9617909
2024-07-04,60136.48343505988,9229560219.58887,250509519.41268355
2024-07-04,58746.497192170624,8989200342.280878,283941292.81259394
2024-07-04,59064.336534817325,9020067240.488823,296150512.1135587
2024-07-04,59004.46989263973,9038816196.04254,292810361.0475984
2024-07-04,58882.19068946667,9015429061.149427,297357058.4562168
2024-07-04,58732.80156071846,8988804639.939913,297762621.7537082
2024-07-04,58729.08784870536,8991041956.530973,300410462.814368
2024-07-04,58574.50326192573,8920840853.105656,299123300.7879966
2024-07-04,57396.34758074731,8788061839.778118,319956009.79488724
2024-07-04,57521.3717268195,8810550159.188602,374015238.949346
2024-07-04,57936.41159922435,8866659872.89222,370281078.17240393
2024-07-04,57625.87291418302,8825075888.302814,379899706.1339884
2024-07-04,57399.80816701902,8761261669.998022,389445138.4716972
2024-07-04,57129.97740252704,8742624448.129251,414453159.4789026
2024-07-04,57378.173889187245,8762280906.477303,428347898.0861658
2024-07-04,57828.10132004026,8852132517.804123,447760258.4555093
2024-07-04,58020.08749077699,8882087177.195951,455009705.240279
2024-07-04,57975.49056363644,8904755103.550447,462192879.91003174
2024-07-04,58193.8999777762,8889156507.434837,460969495.7902684
2024-07-04,58247.326605901886,8913205458.03962,440538716.2826978
2024-07-04,58337.77767157912,8924374440.591118,437481948.76069087
2024-07-04,58476.62544815146,8965271183.087685,380971379.69735265
2024-07-04,57891.02273683776,8856551417.856277,434821585.7297482
2024-07-05,57068.89178098531,8724579948.862,457982451.4533559
2024-07-05,57411.67561226539,8768251535.06469,497440888.1625243
2024-07-05,56835.725773864084,8692301912.491026,471051089.099632
2024-07-05,55260.4425432795,8620077306.61674,539367575.5476062
2024-07-05,55286.73286438442,8441811407.457711,648888192.9389743
2024-07-05,54177.63610211683,8294828957.38466,744582356.5768306
2024-07-05,54467.332249540035,8340952763.813618,793699741.7718422
2024-07-05,54174.94039031829,8300701413.733874,818333132.2652795
2024-07-05,54337.86981568269,8309354115.389849,828020583.7069548
2024-07-05,53854.27026515854,8255147989.942573,801301590.9868364
2024-07-05,54597.522481362765,8348829842.323627,791964877.7864897
2024-07-05,55128.2490083537,8436012654.100567,811990572.0673839
2024-07-05,55329.962929022025,8465615248.474591,812628759.2351075
2024-07-05,55000.61598587476,8446862321.515767,834095319.3683413
2024-07-05,55478.24284850594,8491999210.632905,820881402.3918034
2024-07-05,56302.808888454674,8612574923.399208,826241909.9005222
2024-07-05,56477.072942543746,8652216584.468218,824972537.1374767
2024-07-05,56417.41904639952,8637573057.71771,832278466.4024937
2024-07-05,56226.26920306694,8608928276.948494,842218549.7221082
2024-07-05,56342.676862943066,8639229712.311163,855314582.4289188
2024-07-05,56484.55499517073,8641173945.28052,857774134.342434
2024-07-05,56415.131096051715,8638702120.216703,857495396.4972025
2024-07-05,56489.69377050343,8651347822.791504,857203608.7564337
2024-07-05,56668.66346884889,8664160630.586336,858283864.0007647
2024-07-06,56532.44583414959,8651821752.528177,833850137.3252635
2024-07-06,56425.15387032952,8661379249.993998,823929015.961696
2024-07-06,56197.01866316818,8616335856.637941,801239473.8016303
2024-07-06,56471.422508103184,8639938013.870308,710092004.1999342
2024-07-06,56389.480805693216,8631431250.8399,594602754.0518868
