Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,ChainBois 🔺,I want to thank my good friend &amp; #AVAX Ambassador @necessarygrowth for working w/ me to make CryptoCrazy Orlando happen🔥🔺💯 Event begins in less than 2 hours &amp; we’re ready!  Got some registrations today from some prominent Orlando #Crypto members🔥 Let’s do this!! @AvaxDAO_ https://t.co/OGRddnaySM,Fri Aug 02 16:24:01 +0000 2024,20,58
2,Splashtoons 🔺,"Here you can mint own Spashie:

https://t.co/YjW1rgKQ0f 

Links where we are listed: 

@0xCampfire :
https://t.co/OetISkjPxS

@HyperspaceAvax :
https://t.co/h8c3LXotFN

@salvor_io :
https://t.co/6eFVLgI3j7

Here is our merch : 
@0xNFTreasure
https://t.co/5uzuSWGkqm

#AVAX #NFT https://t.co/0RF2TLgOQN",Fri Aug 02 13:58:55 +0000 2024,13,146
3,StygianOne,"This is pretty cool utility of #SaitaSwap ngl.

Why you ask?

Well, you can swap many different EVM coins / tokens (#ETH, #BNB, #AVAX etc).

And you remember that our #SBC is as well EVM compatible.

What does it mean? That in long term future, we could have swap from ANY EVM",Fri Aug 02 08:59:15 +0000 2024,55,103
4,CoinNerd,"🔥 Top Trending Memecoins on Avalanche🔺 in the Last 24 Hours

🥇 @CoqInuAvax
🥈 @TECHimproving
🥉 @LANDWOLFONAVAX
@nochillavax
@KimboAvax
@HefeOnAvax
@MeowCatHQ
@MajinAvax

Comment your favorite below 🔻

#CoinNerd #Avax #Blockchain #Meme https://t.co/1QklBNGAIj",Fri Aug 02 02:12:27 +0000 2024,27,62
5,Daniel Veroc ⚡️#EGLDSqueeze,"Why I’m all in (5mil$+) on #EGLD. Most scalable &amp; decentralized blockchain (3555 nodes) and world class UI/UX ✅

Why I sold #NEAR, #TON, #ETH, #BTC #AVAX, and why I avoid #SOL and #XRP, etc. I’ve never seen a more asymmetric bet in my life 📈🚀 Check (24) #EGLDSqueeze thread 👇",Thu Aug 01 18:10:25 +0000 2024,71,228
6,APEX | All-in-one DeFi,"📢📢📢We are live📢📢📢

https://t.co/KAEltFaFQ2

Trading of $APEX is now live

@BallnToken3 @thejuiceonavax @sqrcat4avax
@HefeOnAvax @avaxgohigher @BonkeOnAvax
@KimboAvax @BigRed_TD @BawlsOnu @amiavax
@DEGENLABS_CO #SOL #AVAX #Ethereum https://t.co/KdNGWuh3Cl",Thu Aug 01 12:15:24 +0000 2024,67,86
7,StereoX🔺,"To the #avax bros, 

Am clicking deploy on ignite tomorrow,

Stay tuned.",Wed Jul 31 21:24:49 +0000 2024,8,64
8,M.Y 🔺,"🚨Time For Another Giveaway🚨

Winner Takes it All!
1 Winner wins 1 #Avax🔺

To Do:
✅Like&amp;Follow Me and @BitBeard1 
✅RT🔁Comment and Tag 3 Friends!

Ends in 24 Hours.

Good Luck🔁

Winner Will Be Picked Via TwitterPicker.

#Avax🔺 #Hefe https://t.co/mWwM9eva14",Wed Jul 31 15:32:43 +0000 2024,629,638
9,$WUMBO,"It's #Wumbo Wendsday! Comment your all-time favorite fact or feature about #ICP!! 🚀

Top❤️3 comments win:
🏆100 $WUMBO 🥈10 $ICP 🥉100,000 $YEE!!!

#avax #algo #sol #cardano #zilliqa #dot #bnb #eth #zksync #btc https://t.co/551UNYrUy7",Wed Jul 31 14:28:15 +0000 2024,68,131
10,Daniel Veroc ⚡️#EGLDSqueeze,"I don't know who wants to hear this, but there is no such thing as second best.

After my 10,000+ hours analysis, #EGLD is far better in every aspect than #ETH #SOL #TON #NEAR #SUI #AVAX #BNB #XRP.

Do you think I'm right? If not, tell me why. Show me your investment thesis 👇",Wed Jul 31 13:15:22 +0000 2024,29,93
11,Resh!!🐺🐺,FOMO . #stc is killing it . Doing exactly what it said it would do . You guys better get in before it’s real expensive and that 0 is gone . #saitachain #saitachaincoin  #ETHChain  #BNB  #BTC #Crypto #solanachain #AVAX #SOL  #base #money https://t.co/HdefSRMx0w,Wed Jul 31 12:17:54 +0000 2024,38,77
12,Wojak Satoshi,"Really huge use case. Actual adoption. 

#AVAX 🔺 @avax",Tue Jul 30 21:24:02 +0000 2024,16,131
13,EverRise,"🔒 Stay safe and take control over who has access to your wallet!

Revoke token approvals on #BNB, #ETH, #MATIC, #AVAX and #FTM by utilizing #EverRevoke.

Powered by #EverRise.

https://t.co/x4uf1LDjym https://t.co/2ohC5s59kx",Tue Jul 30 14:05:13 +0000 2024,41,100
14,NFT Holders™ 💎,"⚡️Linea Magi Airdrop Event Phase 3⚡️

Follow @LineaMagi + RT/Like their pinned 📌

🙌🏼 Last opportunities before the Magi token listing.

➡️ Join the first zero-inflation #memecoin project.

#meme $pepe $shib $doge $mother #wif $daddy #btc #bnb #crypto #web3 #eth #sol #p2e #avax https://t.co/OFs5nuJ35r",Tue Jul 30 09:28:18 +0000 2024,565,583
15,Lawrence💪🔺,"On May 15th, $SWOL was $46.65 USD, and $AVAX was $35 USD.

Today $SWOL is $97+ and #AVAX is 27.50

It's hard to move this strong while the pair you are attached to is going down.

On May 18th, we dropped our first expansion pack of traits. This was something no one had ever done https://t.co/CuJyRrlO8n",Mon Jul 29 19:52:54 +0000 2024,26,59
16,Wojak Satoshi,"Supply cap increased to 1.25 TRILLION COQ on @BenqiFinance. Incredible demand. 

Unlock your $COQ 🐓🔺#AVAX https://t.co/XWpL7kmzxZ",Mon Jul 29 14:34:09 +0000 2024,40,153
17,SHANE,"We've heard nothing but praise from builders on Shidochain's ability to run game builds. Its screaming speed and responsiveness is perfect for it.

Get ready for the rollout of Shido games.

#shido #crypto #blockchain #dex #defi #P2E #gaming #eth #sol #avax https://t.co/XkNZrIF55Z",Mon Jul 29 14:31:36 +0000 2024,52,103
