Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,Joemar Taganna,"I once wished to see an auto-updating map of #BCH-accepting merchants that indicates when their last transactions were. No map was doing exactly that, so we built it. 💪",Tue Jul 30 16:27:50 +0000 2024,21,93
2,David Shattuck,"Today I upgraded the #BCH Client to send any amount to any number of receiving addresses in a single tx.

I used the feature to send ~$1 of BCH to everyone who has logged into @a5thofgaming in the past month. 1 tx:

https://t.co/kuUrf6ujhz

This library makes the code too easy... https://t.co/3MTj3fJT20",Mon Jul 29 23:09:07 +0000 2024,14,64
3,Sean | P2P digital cash,"I’ve used #BTC #BCH #LTC, #XMR, Kas, Nano, Dash, XEC. 

Every single one is superior against Bitcoin core as digital cash.",Mon Jul 29 17:24:13 +0000 2024,12,181
4,James Lau,Let's go! #BCH faster and cheaper than bitcoin. @elonmusk https://t.co/T51JljnJg3,Mon Jul 29 07:13:44 +0000 2024,11,83
5,Maciej Zielinski 🇮🇹,Remember Me ??? :) #PCBasketball #BigEast #NCAA #PlkPl #KoszKadra #BCh https://t.co/rnTlCZwbRy,Sun Jul 28 20:01:28 +0000 2024,3,195
6,ZAYK Charts,"$BCH Descending Channel Breaking out in 12H Timeframe✅

Expecting Bullish Wave📈

#BCH #BCHUSDT #Crypto https://t.co/O7PBegZ2px",Sun Jul 28 16:29:01 +0000 2024,24,120
7,Nano-GPT,"Hello Bitcoin Cash! Welcome to https://t.co/dxB6KFwMRe!

Deposit as little as $0.10 to access GPT-4, Claude, Gemini, DALL-E, Stable Diffusion and a whole lot of other text and image models.

Thank you to the many #BCH $BCH community members who helped us test. https://t.co/z9RLprmlJ9",Fri Jul 26 10:31:39 +0000 2024,37,108
8,Lucas Betschart,"#MtGox payouts on Kraken have happened! 
Sold my #BCH immediately at USD 374 for more #Bitcoin 🚀 This will drop hard xD",Tue Jul 23 16:41:17 +0000 2024,16,307
9,DΛVID 🟢,"🚨 It’s come to my attention that OG Bitcoiners who support #BCH are no longer welcome and have become “irrelevant”. 

Bitcoin Cash is now being pushed hard by toxic maximalism, a horrible trait for a crypto community to have, which the majority of crypto communities tend to https://t.co/8Ovg997mmE",Mon Jul 22 18:34:17 +0000 2024,7,78
10,Digital Perspectives,"Ripple/XRP-USTreasury Secretary-USD/GRC In Trouble,SWIFT vs Ripple-Ripple Wins, XRP $80 Breakout?

#BTC
#ETH #BCH #xrpthestandard #ripple #ripplenews #DigitalPerspectives #Crypto #Financial #Investing #XRP Includes Paid Promotion https://t.co/9Ut3Wizkt7",Sun Jul 21 13:41:46 +0000 2024,41,127
