Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,FLOKI,"This week in the #Floki / #TokenFi Weekly Recap:

✓ Floki / #BNB Chain ""Train Like a Champion"" event
✓ Floki x Moby Media AMA summary
✓ Upcoming market announcement
✓ Simon's Cat airdrop

All this, and more, on Saturday, August 03, at 6 PM UTC! 👇
 https://t.co/yEUfLrnWRx",Fri Aug 02 19:03:36 +0000 2024,104,454
2,POWELLY,"#SaitaChain Community 

#Crypto been Blood Red 

Stock Markets all Over the World Crashing 

A 10 #BNB Sell comes in for #STC #SaitaChainCoin on DEX 

What Happens Next?

A Flood of Buys come in for #STC #SaitaChainCoin On DEXs and a Green Wall of Buys

Remember my Liquidity Post https://t.co/cF8TqT8yrV",Fri Aug 02 18:48:52 +0000 2024,55,106
3,Rahul Rohit Parikh 🐺 kingdom,"THE Kingdom is rising 👑🐺

#kingdom #stc #saitama #sbc #sol #bnb #meme #web3 #crypto #saitachain #trump https://t.co/5hJGYrGO0W",Fri Aug 02 18:46:44 +0000 2024,39,95
4,Rahul Rohit Parikh 🐺 kingdom,"Not everyone can partner with #Chelsea. @BingXOfficial 
#stc now trading live on #bingx

#saitachain #bnb #web3",Fri Aug 02 15:45:10 +0000 2024,68,148
5,Amonyx,"🗓️ Daily reminder: Price targets 

#Bitcoin : $100,000+
#Ethereum : $10,000
#BNB  : $1,000
#EGLD : $1,000
$WAN : $100
$LQTY : $100+
$MINA : $100
$XRP : $10+
$ADA : $10
$JASMY : $3
$LUNC : $1
$SHIB : $0.001

patience 🗝️",Fri Aug 02 13:57:15 +0000 2024,45,327
6,Valerie’s Crypto Hub 🔶⚡️,"$200 in #BNB Giveaway!!

Follow @cryptofernsby &amp; @valeriehub_ 
Drop proofs in the comments.

Repost for your friends to participate. 
Good Luck!!",Fri Aug 02 09:56:40 +0000 2024,293,322
7,GroveX,"Exciting News!  @PolyhedraZK ($ZKJ) is Now Listed on GroveX and trading has begun! 

Token: $ZKJ

📈Trade Now: https://t.co/THmytD4W4a
📖 More Info: https://t.co/IFDzJ3qlMP

#ZKJ #Crypto #Blockchain #GroveX #Trading #ETH #BNB #cryptocurrency https://t.co/am7aRIabX7",Fri Aug 02 09:09:00 +0000 2024,5,249
8,StygianOne,"This is pretty cool utility of #SaitaSwap ngl.

Why you ask?

Well, you can swap many different EVM coins / tokens (#ETH, #BNB, #AVAX etc).

And you remember that our #SBC is as well EVM compatible.

What does it mean? That in long term future, we could have swap from ANY EVM",Fri Aug 02 08:59:15 +0000 2024,55,103
9,Binance,"Megadrop simplified in a quick 2-minute (and a bit) guide.

Learn how to earn points, lock up #BNB, and complete web3 quests to maximize your rewards.

Find out what it means for you. 👇
https://t.co/UIt9UQTrx9",Fri Aug 02 08:00:14 +0000 2024,188,641
10,Nakamoto.Games,"Over the past four days, we've added #AppleID as an access option, revealed the latest #BlackContact development, announced #PVP and #PVE for #UMT 2.0, launched the first #BNB Ecosystem on $NAKA, went live with the new Asset Page, and brought our first Mobile App to #GooglePlay. https://t.co/Mz4srn6AB2",Fri Aug 02 00:00:01 +0000 2024,51,290
11,STCBurn Token (STCB) - We Burn SaitaChain Coin,"Where we buyin' ?  
#STCB $SOL #SaitaChainBlockchain #BNB https://t.co/VqTb8Gaext",Thu Aug 01 20:50:25 +0000 2024,26,62
12,Nikkii SaitaChain Kingdom,"#SaitaChainCoin is now available on #SBC #SaitaChain network on @BingXOfficial

Withdrawal &amp; deposits are now live for #STC on #SBC network 🔥🚀

#SaitaChain #SaitaChainCoin #BingX #Crypto #BNB #ETH https://t.co/1rmQubZkwz",Thu Aug 01 18:29:04 +0000 2024,65,136
