Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,chicoᝰ.ᐟ,"When someone ask me what falling in love looks like:
#daishun #dai #shun #theboyfriend https://t.co/Uzme1mLHIb",Thu Aug 01 13:42:41 +0000 2024,233,1722
2,chicoᝰ.ᐟ,"Did shun just change his place🤣??
#theboyfriend #shun #DaiShun #dai https://t.co/RUUcP7wXhl",Thu Aug 01 12:29:02 +0000 2024,188,1944
3,Netflix Philippines,"did we make it?                             yes we did

#TheBoyfriend #Dai #Shun #DaiShun #Netflix https://t.co/1oyuV6mh5K",Thu Aug 01 11:05:57 +0000 2024,595,2492
4,chicoᝰ.ᐟ,"The way I laughed so hard when I remembered this episode and Dai liked this post hehhehe tea is tea 🤣🤣🤣
#theboyfriend #daishun #dai https://t.co/JUJGtq3iB0",Thu Aug 01 10:18:04 +0000 2024,399,3011
5,chicoᝰ.ᐟ,"new standard unlocked :
-Understandable
-finds everything shun does CUTE .
-take all your problems seriously
- “I’ll always choose shun”
-the way he dressing
- the way he talks 
- very romantic 
- GREEN FLAG 
- clingy bf 
- boyfriend material 

#theboyfriend #DaiShun #dai https://t.co/m6ADNu1iiW",Thu Aug 01 10:07:50 +0000 2024,659,3660
6,eysee 🌱,The captions on these posts #Dai liked on insta lol #TheBoyfriend https://t.co/coCYlceVjr,Thu Aug 01 09:32:27 +0000 2024,248,1935
7,chicoᝰ.ᐟ,"“even in a crowded room, 
I’ll always choose you”
#theboyfriend #DaiShun #dai https://t.co/9d1YzZVQu5",Wed Jul 31 23:13:56 +0000 2024,59,668
8,Crypto.com,"🚀 Dive in to the world of #DAI! 💰 

Learn how to use, trade, and create the stablecoin. No membership needed — just crypto curiosity! 🌐 
https://t.co/CZTvK437oD https://t.co/Ynh33EDr2o",Tue Jul 30 20:29:22 +0000 2024,45,208
9,raque neomark ❤️‍🔥,"my two extroverts celebrating that they took their two introverts hahahaha I love them
#TheBoyfriend #Alan #Kazuto #Dai #Shun #ShunDai  #DaiShun #AlanKazuto https://t.co/a93wUtdqZA",Tue Jul 30 12:07:03 +0000 2024,120,1132
10,yamm 🐙 daishun,"#Dai the extroverted boy who likes to show love in his relationships fell in love with an introverted boy who did not express his emotions well, giving him his space and trying to find out the reason for shun's anger, in the end he could have a happy ending ❤️‍🩹🥹

 #theboyfriend https://t.co/ACGoC5pcix",Tue Jul 30 08:41:21 +0000 2024,243,1428
11,yamm 🐙 daishun,"We are less than 24 hours to say goodbye to the best Japanese reality show netflix japan could give us, I am so happy to have met the guys and more my precious boys #dai and #shun 🥹❤️‍🩹

I'm not ready to say goodbye to my tuesday happiness🥲

 #TheBoyfriend #DaiShun #ShunDai https://t.co/AnYSXhEfBL",Mon Jul 29 08:43:48 +0000 2024,196,1224
12,Emarttt,"I had to do it.
#DragonAge #DragonAgeInquisition #DAI #Sera #Blackwall https://t.co/FGUjoyNA20",Sun Jul 28 16:36:57 +0000 2024,272,1453
13,sin 🐝,"thanks to the dinosaurs that died to make the fossil fuel that was used for the petrol in the car that took dai nakai’s mother to the hospital to give birth to this man
#dai #dainakai #theboyfriend #ボーイフレンド https://t.co/bqvrk9VJFi",Sun Jul 28 14:51:52 +0000 2024,110,761
14,Luna,Guys look what Dai liked🥰😍😍😍 #dai #shun #DaiShun #theboyfriend https://t.co/1BJ16QJ5SS,Fri Jul 26 18:38:23 +0000 2024,42,436
15,shendudn,"Dai became so cute！！！
#Theboyfriend #dai https://t.co/IA6bYVpF3t",Fri Jul 26 05:49:32 +0000 2024,173,1912
16,ʚ🍓ɞ 𝒓𝒊𝒔𝒌𝒂,"the ultimate Japanese ray of sunshine ☀️

#theboyfriend #dai https://t.co/KFcp0uk4Nn",Thu Jul 25 12:42:16 +0000 2024,98,798
17,rani_heavan🙋🏻,Nobody’s gonna know #TheBoyfriend #dai #SHUN https://t.co/HHvquOZHDx,Thu Jul 25 01:16:02 +0000 2024,35,555
18,shendudn,"After the show, I want to see the owner of another glass of wine show up at the same time as you.Thank you.
#TheBoyfriend #dai https://t.co/VKK1C2FiJa",Tue Jul 23 09:29:12 +0000 2024,207,2014
19,DAI on PulseChain,"#DAI on #PulseChain is inevitable &amp; not your everyday stablecoin, perhaps come see about us:

https://t.co/EqNpEScJlt 

#pDAI #Atropa #thepeggening https://t.co/nJr56Ylmf0",Sun Jul 21 23:28:08 +0000 2024,17,87
20,Netflix Philippines,"What do you call this ship dynamic bc honestly Shun needs to make up his mind 🤨

#TheBoyfriend #Dai #Shun #DaiShun #Netflix https://t.co/htbnLGP68p",Sun Jul 21 10:00:01 +0000 2024,112,873
21,For his 🐝 & his 👼🏻,"#Shun said that #Dai doesn't fall under the short hair or bangs categories, and he mentioned wanting to go for a genre-less approach. That’s very clever of you, Shun; I see what you’re doing here🙂‍↕️

#ShunDai #DaiShun #TheBoyfriend https://t.co/Mym1N1ViPm",Sat Jul 20 20:44:09 +0000 2024,108,897
22,sistasangen,"Dragon Age Inquisition                                                  

#VPRT #VirtualPhotography #DAI #DragonAge https://t.co/jtwgd7hVmZ",Fri Jul 19 11:59:19 +0000 2024,8,88
23,chicoᝰ.ᐟ,"When you still confused about your feelings but your eyes know the answer ,
#TheBoyfriend #daishun #dai https://t.co/lTulL7NmcS",Thu Jul 18 17:56:09 +0000 2024,139,1204
24,越 🐻‍❄️🍓,Simping on this man so much n’ now I’m thinking what if Shun saw all of our simp posts of Dai and throws his man out of room then Dai’ll be like ‘baby what did I do wrong?’ Lmao 😭 he’ll sure be asking with a lot of question marks on his head #TheBoyfriend #Daishun #Dai https://t.co/1p6P6uJgh1,Thu Jul 18 13:38:59 +0000 2024,49,496
25,chicoᝰ.ᐟ,"Eyes are LOUD,
#theboyfriend #shundai #shun #dai https://t.co/lbQ4CP6PTz",Thu Jul 18 10:11:48 +0000 2024,92,1172
26,ʚ🍓ɞ 𝒓𝒊𝒔𝒌𝒂,"teenage dai was really cute, who knew that innocent face would grow up to be such a heartthrob 💕

#TheBoyfriend #Dai https://t.co/hZZaMwZ51i",Thu Jul 18 08:56:24 +0000 2024,62,686
27,Netflix Philippines,"Not the chicken breasts making me cry the most 😭 

#TheBoyfriend #Alan #Dai #Gensei #Ikuo #Kazuto #Ryota #Shun #Taeheon #Usak #Netflix https://t.co/BNwVCUmSyo",Thu Jul 18 08:00:00 +0000 2024,77,589
28,🍑 🎀 𝒷𝓋𝓃𝓃𝓎𝒹𝒶𝟣𝓈𝓎 🎀 🍑,"#dai liking a comment about him and Shun, and #shun liking a shipping video abt him and dai. They’re not even trying to hide lmao #theboyfriend #TheBoyfriendNetflix https://t.co/y5XoVgdrkP",Thu Jul 18 01:09:21 +0000 2024,90,790
29,sistasangen,"Dragon Age Inquisition                                              

#VPRT #VirtualPhotography #DAI #DragonAge https://t.co/EFWhoac0DO",Wed Jul 17 13:07:09 +0000 2024,5,59
30,chicoᝰ.ᐟ,"For me, the best part of the episode 6 was when Day came and asked ryota , gensei,shin if they wanted to drink water ,I mean, just say you came to see shun .
#theboyfriend #shun #dai #DaiShun https://t.co/1EpJj5itCG",Wed Jul 17 10:24:34 +0000 2024,91,1076
31,-ˋˏ Dian🌷♡ˑ 𐙚,"Shun : Dai, come here
Dai : *OKAY BABY*

He's so down bad for Shun 🫠

#DaiShun  #TheBoyfriend #TheBoyfriendNetflix #Dai #Shun #ボーイフレンド https://t.co/MKVz91ucuH",Wed Jul 17 10:11:32 +0000 2024,104,1047
32,chicoᝰ.ᐟ,"Their hugs 🫂🥹.
#TheBoyfriend #shun #dai #daishun https://t.co/3N1wn9cErQ",Wed Jul 17 08:54:25 +0000 2024,171,1402
33,chicoᝰ.ᐟ,Shun and his habit of putting his feet or body on his FUTURE BOYFRIEND 😩.#TheBoyfriend #SHUN #dai #daishun https://t.co/0uhTzlZuLs,Tue Jul 16 22:43:09 +0000 2024,142,1199
34,chicoᝰ.ᐟ,"Shun: we’re better off as friends,
Me:
#TheBoyfriend #shun #dai #daishun https://t.co/O9XcHvo9vF",Tue Jul 16 21:45:00 +0000 2024,91,724
35,chicoᝰ.ᐟ,Shun jealousy was so strong so he chose to end the war with a nice kiss lol 😂#TheBoyfriend #shun #dai https://t.co/2fPEncrSf2,Tue Jul 16 19:39:59 +0000 2024,127,1597
36,chicoᝰ.ᐟ,"I liked when shun started playing around dai to get his attention lol , and Dai wanted to cry bcz he can’t understand shun 😂 
#TheBoyfriend #shun #dai #daishun https://t.co/eTQBR8uQgz",Tue Jul 16 18:15:37 +0000 2024,91,905
37,chicoᝰ.ᐟ,"Having received sadness in episode 4, 5 ,6, now I'm ready to receive these happy moments next week 😩#theboyfriend #dai #shun #shundai #daishun https://t.co/CtzcCT9hqn",Tue Jul 16 16:50:58 +0000 2024,119,1148
38,chicoᝰ.ᐟ,"“but I still want you”
#theboyfriend #daishun #dai https://t.co/MvzRadRDRA",Tue Jul 16 16:40:48 +0000 2024,262,1987
