Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,THOR⚡bin3,"Kindly tune in to #Dogechain Roundtable🎙️ #97 and get insights &amp; hot takes on the topic: SEC Dropping cases? &amp; others.

Currently ongoing, so get locked in ASAP!💪🏼

See link below:👇🏼 
#Doge $DC 🚀 https://t.co/dTdXljXVGX",Fri Aug 02 19:15:41 +0000 2024,1,53
2,THOR⚡bin3,"💫 Welcome to August, the month where we experience a new dispensation of #Doge awesomeness (in various flavors of course.🏖️

Let's make memories this month!💪🏼
$DC #Dogechain https://t.co/5nD6uivLdk",Fri Aug 02 19:06:55 +0000 2024,1,56
3,Olcay Saka,"My comments are valid for $FLOKI. The market may not allow it, but #Floki will turn the crisis into an opportunity. 

A quality project is not a coincidence..✊

@RealFlokiInu 📈 #HODL ✅

#FLOKI #DOGE #SHIB #PEPE #WIF #BTC #Bitcoin #Ethereum #ETH #MEME #Borsa https://t.co/QzZcf9K2v6",Fri Aug 02 18:29:54 +0000 2024,31,196
4,Emily’s Universe 💎,"These #Memecoins will print millionaires this year

1.#DOGE
2.#PEPE 
3.#PEIPEI
4.#WIF
5. #MYRO
6.#NEIRO
7. #

Which are you adding?👀",Fri Aug 02 16:10:05 +0000 2024,32,177
5,The Coach 𝕏Đ,But why 🥺#doge https://t.co/vNvkecmQuU,Fri Aug 02 15:10:27 +0000 2024,11,123
6,Crypto Daily Trade Signals,Sending the Bat signal to ⁦@elonmusk⁩  #Doge community needs you https://t.co/VQNiFk0gb2,Fri Aug 02 13:13:46 +0000 2024,20,130
7,Ɖｏｇｅ_Ａｌｂ,DoOnlyGoodEveryday #Doge https://t.co/oc1Urr04ZA,Fri Aug 02 12:59:30 +0000 2024,9,69
8,MOAR_HODL,"GM fren! ☕️☀️
It costs 0 #Doge to say it back… https://t.co/rf4b218jph",Fri Aug 02 10:45:53 +0000 2024,5,70
9,The Coach 𝕏Đ,This could be the last dip before the next leg up #doge,Thu Aug 01 20:55:05 +0000 2024,10,105
10,Kevin,#Dogecoin is back testing the breakout trend line and structured support. Definitely want to hold this zone and make a higher low to continue being bullish. #Altcoins #DOGE https://t.co/z1TtN9BfbC,Thu Aug 01 19:36:09 +0000 2024,11,149
11,The Coach 𝕏Đ,Next leg up imo #doge https://t.co/76TLoPo0SJ,Thu Aug 01 16:53:19 +0000 2024,11,80
12,XDOGE,"😎The secret to success in life is to be prepared at all times💪🏻

The opportunity is coming soon💥
#XDOGE #DOGE #ETH #USDT #BTC",Thu Aug 01 14:51:29 +0000 2024,20,43
13,Crypto Daily Trade Signals,"7,200% #DOGE Bull Run Could be Playing Out for #Dogecoin, Analyst Expects $10 $DOGE Price Soon https://t.co/cXeykc97hK",Thu Aug 01 14:36:52 +0000 2024,81,512
14,Doge2014,"Never letting go of #DOGE2014! 🚢💫

#DOGE2014 #DOGE #memecoin #Crypto https://t.co/UR6YIdUJ6s",Thu Aug 01 10:25:07 +0000 2024,439,613
15,The Coach 𝕏Đ,"3D Chart suggests we are riding down the previous resistance. 

Likely bounce up from 0.1150 - 0.12 area.

Possible to revisit 0.1080 (support line).

Overall outlook is extremely bullish, so whatever the dip, there will be a much higher rip this year. 

#doge https://t.co/mS9MgAYW5I",Thu Aug 01 08:20:14 +0000 2024,10,79
16,Lola,"ETH is not moving against BTC 
Solana is the only one moving 

#BNB needs to move up
#XRP needs to move up 
#SHIB needs to move up
#DOGE needs to move up

We need this for ALTSEASON
unless we will just wait for BTC to move higher
accept it, market changed without CZ 😂",Thu Aug 01 03:28:08 +0000 2024,22,141
17,Kevin,Monthly RSI nowhere near macro target. Monthly MACD nowhere near target. Price structure is mirroring previous cycles on 1M time frame. The real #Dogecoin bull run has not even begun yet. Cycle top in Q1 of 2025 or earliest in December based off historical analysis. #DOGE https://t.co/DCRZmEBKi8,Wed Jul 31 23:44:05 +0000 2024,33,190
18,❄️𝚝𝚘𝚗𝚢𝚖𝚘𝚘𝚗𝚝𝚊𝚗𝚊.𝚎𝚝𝚑❄️,"$NEIRO will be thumbing through the money.

COMMUNITY &gt; UTILITY

You can’t buy a community like the one that @NeiroWoof is building. 💯

#BROPUMP #NEIRO #DOGE #DOGECOIN 

https://t.co/sENEcOHT8K https://t.co/ho1zzjFhU7",Wed Jul 31 20:47:47 +0000 2024,107,258
