Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,Land Line Magazine,"Transportation Secretary Pete Buttigieg says that paying truck drivers a fair wage is beneficial to the nation's supply chain. 
#trucking #truckers #DOT #Landlinemedia
https://t.co/nVgJ4M0iTW https://t.co/xtImGJA98l",Thu Aug 01 00:01:09 +0000 2024,37,181
2,$WUMBO,"It's #Wumbo Wendsday! Comment your all-time favorite fact or feature about #ICP!! 🚀

Top❤️3 comments win:
🏆100 $WUMBO 🥈10 $ICP 🥉100,000 $YEE!!!

#avax #algo #sol #cardano #zilliqa #dot #bnb #eth #zksync #btc https://t.co/551UNYrUy7",Wed Jul 31 14:28:15 +0000 2024,68,131
3,Captain Faibik 🐺,"$DOT is Consolidating within a falling Wedge Pattern.

Accumulate it for the midterm before it's too late.

Expecting 2x Bullish rally after the Wedge breakout. 📈

#Crypto #Polkadot #DOT https://t.co/Y82Zhf4NXH",Mon Jul 29 07:31:20 +0000 2024,54,246
4,FishyBusiness.FLR 🎣,Connect #pokadot #DOT #FLR #Flarenetworks 🤑 https://t.co/G498HyFA5S,Mon Jul 29 02:22:09 +0000 2024,24,90
5,Mack.EGLD,"Ok so you want to talk about money? fine let's talk about numbers then. Market cap👇
#EGLD 915M
#SOL 85B
#AVAX 11B
#ETH 394B
#BNB 84B
#ADA 15B
#TON 17B
#TRON 12B
#DOT 8B
EGLD has the lowest mc by far yet this blockchain is 10 years ahead of everyone else #EGLDSqueeze",Sat Jul 27 13:24:52 +0000 2024,27,117
6,𝙴𝚒𝚗𝚊 ❀ 에이나 ❀,"Gonna do live cooking show for Sunday ☺️
I’ll just drop the l/i/n/k
Sa tg tayo mga mamsh 😂🤣

#백현 #BAEKHYUN 
#Lonsdaleite #dot #2024BAEKHYUNASIATOUR https://t.co/NZZr7L2S1B",Fri Jul 26 11:30:16 +0000 2024,57,459
7,🍀 PokeLiko 🍀,"Oh! I love it so much! So cool!

#anipoke #pokemonhorizons #Liko #Roy #Dot https://t.co/Gh5RGoE7FI",Fri Jul 26 11:02:05 +0000 2024,249,1383
8,Alpha Airdrop,"If #DOT JAM was up here it would be going so fast it would be just one uniform sheet of white lol

The innovation mindset is so stark.

@Polkadot isn't looking to get simply a little faster TPS.

It's goal is to make TPS metrics irrelevant.

The long term vision is to make block",Sun Jul 21 13:49:08 +0000 2024,10,92
9,Tony ₿itcoin⚡,"#Polkadot $DOT AT in the short term

#DOT is having resistance at the 0.23 Fibonacci at $6.5, as soon as it breaks and confirms this resistance the price should go to the 0.61 Fibonacci around $9.20 https://t.co/Zv8jxyC47e",Sun Jul 21 11:34:16 +0000 2024,26,246
10,Polkadot Insider,"🔥 The @Polkadot ecosystem is heating up! This week, we saw parachains pushing some serious iron!
🔎 Here's a look at the top block lifters:

@NeuroWebAI
@MoonbeamNetwork
@one_frequency

👀 Who will dominate next week? Stay tuned for the next Blockweight Brawl!

#Polkadot #DOT https://t.co/FfB5CG8ydF",Sat Jul 20 10:00:10 +0000 2024,29,114
11,Polkadot,"⏯️ Great listen for learning the #DOT basics by Ecosystem Agent @CryptoCowboyOG

From OpenGov to the Polkadot SDK, he covers everything you need to know on @TXblockchain_'s Blockast.

Tune in 👇",Wed Jul 17 10:40:58 +0000 2024,41,271
12,Captain Faibik 🐺,"$DOT Falling Wedge Breakout &amp; Retest is Confirmed on the Daily timeframe Chart..!!

Midterm target : 12$ ✍️

#Crypto #DOT #Polkadot https://t.co/jZhIHlLYiy",Wed Jul 17 01:26:22 +0000 2024,53,314
13,Orlando,We're SOON approaching a milestone of 60% of Polkadot's total supply being staked 👀 #Polkadot #DOT https://t.co/yyniZ4HpFn,Mon Jul 15 13:54:35 +0000 2024,15,154
14,Polkadot Insider,"🔥June was LIT! Who reigned supreme in the @Polkadot ecosystem?
​
🤔 Drumroll please... the top Polkadot and parachains by event count are here!
​
👀 Stay tuned for the full breakdown.
​
#Polkadot #DOT https://t.co/bBr702aCoO",Sat Jul 13 01:00:10 +0000 2024,28,106
