Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,The HBAR Bull,"💥📢🗞️ We have plenty for you today. @rob_nodl is back to answer your questions 🦈, @TierBotAI’s Snake Dash, @TheTieIO / @RealityPlusWeb3, @elliptic, the #HBAR market and much more. https://t.co/txGlvpZPXq",Fri Aug 02 20:11:17 +0000 2024,30,103
2,HBAR Foundation (Parody),"We're excited to announce that the World Hobby Horsing Federation (WHHF) has launched the WHHF Stable, a custom NFT marketplace for officially licensed collectibles!

NFT rider cards, digital collectibles of top hobby horsing athletes and more!

#HBAR #WHHF https://t.co/OgsvVLfD9D",Fri Aug 02 15:24:09 +0000 2024,25,123
3,Mike,ATTENTION #HBAR $HBAR @hedera it’s been a while.  I’m down! I think we all are. Every time I see what’s out there it always brings me back to @hedera because of the tech. I’m in it for the long haul. That’s all I can think of! I still hold @dovuofficial @BANKSOCIALio @HbarSuite,Fri Aug 02 03:42:38 +0000 2024,9,84
4,Birdman,"The entire @Hedera #HTS ecosystem is in accumulation, 🤔 I got my eye on $HSUITE, what tokens are you watching? 
#HBAR https://t.co/V5Axwb0F6L",Fri Aug 02 01:53:14 +0000 2024,7,91
5,Crypto Hulk,"SOME VERY BIG MOVES IN THE WORLD TODAY…STOCK MARKET DIMP, CIRCLR/STELLAR IPO, DATA BREACH, and BLACKROCK!!                                      #BREAKING #XRP #XLM #XDC #ALGO #Quant #IOTA #HBAR #Ripple #Crypto #cryptocurrency #cryptotrading #XRPHolders #XRPLedger https://t.co/hC29UHAtaj",Fri Aug 02 00:44:12 +0000 2024,52,235
6,John Wingate,"Easiest migration in the business!

#HBAR #BSL",Thu Aug 01 23:45:20 +0000 2024,20,120
7,John Wingate,"99.99999999999% done... liquidity has been migrated to the @SaucerSwapLabs #BSLHTS #HBAR pool.  

The entitlement flag has been enabled - Official Announcement IMMINENT @Tamarapauline ;)",Thu Aug 01 22:26:41 +0000 2024,20,121
8,$HBAR HEDERA BULL ℏ,"To everyone Hbarbarians, stop following this guy: Shayan Aka @oroogle aka ex Tatsuaki 

He has mental illness 

Be careful out there 

$HBAR #Hedera #HBAR #RWA #HBARbarians @hedera @hashgraph @hashpackapp https://t.co/Vgfn3dX7MG",Thu Aug 01 15:31:56 +0000 2024,8,63
9,Generation Infinity,"🗞️ Our AMA w/ @HashPackApp unveiled big plans for staking &amp; more! 🎆 

➕ Explore @RocketTRacing's game, @SirioFinance's AI lending, @SentX_io's NFT analytics, @davincigraph's DeFi innovations, &amp; @BattyHattie_ 's impact. 🗞️ 

#Hedera #HBAR @hedera $PACK

https://t.co/sHPvb4gWew",Thu Aug 01 14:11:11 +0000 2024,44,102
10,SentX,"Here's an interesting tidbit: the floor price of @deadpixels_club has been steadily increasing over the past month, rising by 9% since June. #Hedera #NFT #HBAR https://t.co/m8259DmQjS",Thu Aug 01 09:37:57 +0000 2024,25,80
