Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,DFinance,"#ICP future DFinance airdrops can now be secured by doing these tasks: 

✅ Following @DFinance_app
✅ Retweet + Like this post
✅ Join our Telegram (https://t.co/nBVhwaY36G)
✅ Comment your Principal ID https://t.co/GOV0dDZtZI",Fri Aug 02 16:30:00 +0000 2024,189,225
2,ICP HUB Kenya,"✨Did you miss our #motoko programming class on Wednesday? No worries! You can now access the class on our #YouTube channel.

Click the link below to level up your knowledge now!
🔗: https://t.co/LA7dfWJEnv
#YouTubeLearning #ICP",Fri Aug 02 15:07:47 +0000 2024,45,52
3,pokedstudio ∞,lets make ICP great again  🤓 tell us what you are building #icp,Fri Aug 02 13:50:02 +0000 2024,6,105
4,Claudio Cossio,Really excited on what @cafincanet has built on top of ckBTC. All with the support from @icphub_MX. Looking forward to more Point of Sales integrations. Now you can get your ☕ #icp #chainfusion #CoffeeTime https://t.co/Evj15VEqXe,Fri Aug 02 13:42:31 +0000 2024,37,116
5,ICP MINT TODAY ∞,"To Celebrate The SNS Sale of #DOGMI we are Givingaway to Our Community👥

🏆20 billion $Dogmi (20 winners)

To Enter🛸

1⃣ Follow @ICPMintToday  &amp; @dogfinity
2⃣ Like, RT📌
3⃣ Comment Your PID
4⃣Sale :https://t.co/Uz8nPUStLa

#Giveaways #ICP  #airdrop #Airdrops #Giveaway $ICP #SNS https://t.co/DDW9hatiaI",Fri Aug 02 12:07:03 +0000 2024,317,335
6,Icpspace🎙️,"📢DOGMI SNS Special #Giveaway! 

🌹@Icpspace is teaming up with @Dogfinity to host a special #GIVEAWAY of (10B) $DOGMI tokens 🚀 

To join: 
📍Follow @dogfinity &amp; @Icpspace
📍❤️ &amp; RT
📍Tag your Frens 💑
📅 Ends: Aug 12, 7AMUTC

🔗https://t.co/2oj0DOdjtc 🎉

#SNS $ICP #Dogmi #ICP https://t.co/GnqcJSE6CB",Fri Aug 02 12:00:31 +0000 2024,192,215
7,DFINITY,"Immaculate vibes last week at #BitcoinNashville 🟧

From keynotes at @buildingonbtc, to live showcases of Chain Fusion tech from founders at Chain Fusion Day and everything in between, the #ICP team came out in full force ♾️ https://t.co/CiFzdSIq9t",Fri Aug 02 08:04:23 +0000 2024,47,256
8,BobbyO,"ICP spaces tonight. Probably do an open floor but the general conversation will be about why we are moving to new systems. In my opinion.

#ICP $ICP 
https://t.co/AJDtML82rQ",Thu Aug 01 18:32:58 +0000 2024,16,68
9,dom.icp ∞,"Competition: explain #ICP in a 40s video!
PRIZES from @dfinity for the best ⚡️
(help crowdsource pitches)
Post to replies 🎙️🧵",Thu Aug 01 18:32:21 +0000 2024,155,660
10,fran.icp ∞ ⭐️,"⚠️Breaking News: #Binance has not allowed $ICP withdrawals for several hours. 

The official information states that there is ""maintenance"" in progress. It is unknown when withdrawals will be allowed.
 #ICP https://t.co/XlJE7o3Nvn",Thu Aug 01 14:28:02 +0000 2024,14,94
11,DFINITY,"Chain Fusion 𝙛𝙪𝙨𝙚𝙨 elements to create a unified Web3 experience, adding value to chains like #Ethereum &amp; #Bitcoin while enhancing the #ICP ecosystem

Scalability, interoperability, &amp; simplicity for all ♾️

Discover the 🔑 to the multichain ecosystem https://t.co/XFTzCT2vmt",Thu Aug 01 14:00:02 +0000 2024,67,289
12,ICP HUB Kenya,"🎉 We’re excited to announce our partnership with @ICPExchange

🤝 ICPEx is a cutting-edge platform for trading tokens on the Internet Computer. 🌟 Together, we’re bringing seamless and secure trading to the #ICP community.

🚀 Let’s innovate and grow together with easy-to-use https://t.co/2P0c3gBzTm",Thu Aug 01 11:45:28 +0000 2024,61,70
13,DFINITY,"Read/write messages reflect the growing adoption of Chain Fusion technology 📈

Multichain dapps are on the rise on #ICP, creating a more interoperable future 🌍 https://t.co/FstK6n2TOU",Thu Aug 01 09:00:03 +0000 2024,70,318
14,Crypto_Consultant🛡️,"🔥 Dear #Dmailers, Goodnews!

$DMAIL staking is finally here! You can now stake your tokens &amp; reap exclusive rewards, like boosting your Dmail points for the next rounds of future #Airdrops!🤑

Hurry: https://t.co/QGsdDMoUNS

The earlier you stake, the more you earn!
#oriele #icp https://t.co/kCB1Wfx5EO",Thu Aug 01 07:59:59 +0000 2024,0,104
15,ICP HUB Kenya,"🔈 These are the winners of our #giveaway at the last two X space session. 

Thank you for joining us! We hope to see you again this Saturday!🤗

Don’t forget to join our #techcommunity to get timely #ICP updates on #opportunities, #resources and support. 

🔗: https://t.co/82XQUfAnvA",Thu Aug 01 07:49:57 +0000 2024,56,61
16,geekchains.icp ∞,"One day, one pic. #ICP $ICP https://t.co/wxmCClWMdS",Thu Aug 01 06:03:32 +0000 2024,40,157
17,dom.icp ∞,"@ITestTwit1 Once #UTOPIA is operational, it will spread the word about #ICP through mainstream channels without mentioning the words ""crypto"" and ""blockchain"" – which just bring up all these preconceptions that obscure the tech. This will directly reflect back on the Internet Computer. But🧵",Wed Jul 31 21:39:26 +0000 2024,28,114
18,dom.icp ∞,"@Icpspace In the #ICP world:
Internet Computer = internet
UTOPIA networks = intranets
Expecting a #UTOPIA operation to be running this year, bringing corp. and govs. into the ecosystem.",Wed Jul 31 20:20:14 +0000 2024,32,119
19,dom.icp ∞,Crazy prediction: black hats will become the biggest marketeers of tamperproof #ICP compute platforms by driving a global cybersecurity meltdown that hasn't even gotten started yet...,Wed Jul 31 20:05:57 +0000 2024,98,561
20,dom.icp ∞,"Crikey! A Fortune 50 company paid $75m ransom to end a ransomware attack !!

Cyber attacks are one of many reasons enterprises will choose to build using unstoppable &amp; tamperproof compute. This needs fixing #ICP #UTOPIA",Wed Jul 31 19:42:05 +0000 2024,115,452
21,Riccardo,"bullish 
#AI 
#ICP",Wed Jul 31 19:00:26 +0000 2024,15,97
22,Blockchain Pill,"MASSIVE Liquidity Coming to Internet Computer $ICP Ecosystem

- #ICP #SNS projects are getting listed on major CEXes

- Liquid staking protocols are amassing incredible TVLs while maintaining excellent APYs

It looks like DeFi Summer is closer than ever.

Full video below 👇 https://t.co/IdSkZZfJ0z",Wed Jul 31 17:32:29 +0000 2024,39,194
23,dom.icp ∞,"Blockchain x AI 🧠 and #ICP @dfinity 

What's here, what's coming and what I think – fresh off the press, a fireside with Tracy Trachsler! https://t.co/vJ2QrNOxnn",Wed Jul 31 16:27:59 +0000 2024,414,1112
24,William ⚡ Laurent,"I’ve got a bag of $ICP💰

That’s my post 🥊

#ICP",Wed Jul 31 15:54:36 +0000 2024,5,109
25,dom.icp ∞,"This is insane 😂🤣😂. Southwest Airlines avoided the CrowdStrike outage because.. still runs on Windows 3.1

(guys, nonetheless, consider skipping several generations of tech and building unstoppable web applications that are immune to cyber attack #ICP)

https://t.co/BPj0E4Ko8n",Wed Jul 31 15:30:46 +0000 2024,109,495
26,$WUMBO,"It's #Wumbo Wendsday! Comment your all-time favorite fact or feature about #ICP!! 🚀

Top❤️3 comments win:
🏆100 $WUMBO 🥈10 $ICP 🥉100,000 $YEE!!!

#avax #algo #sol #cardano #zilliqa #dot #bnb #eth #zksync #btc https://t.co/551UNYrUy7",Wed Jul 31 14:28:15 +0000 2024,68,131
