Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),""" I shall show you my princely hospitality, dearest friend""

( tldr link's legs hurt so sidon had to carry him to bed )

#sidlink #シドリン #sidonxlink #BOTW #TOTK #TearsoftheKingdom #BreathoftheWild #LegendofZelda #princesidon #link https://t.co/Yvmgx7T8lb",Fri Aug 02 13:40:11 +0000 2024,130,833
2,Остроухий кибермаляр 🇦🇲,"#ZeLink appreciation tweet. Love them to the Moon and back.
#TheLegendOfZelda #Link #Zelda https://t.co/m5IRk6Irx4",Thu Aug 01 09:11:36 +0000 2024,251,1577
3,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),"thank you @The_Varment for commissioning me to draw the Charged Set outfit for Link!! 

#TOTK #TearsoftheKingdom #Link #loz #LegendofZelda #Zelda #CommissionedArt https://t.co/qlER6GGtta",Thu Aug 01 02:32:45 +0000 2024,84,645
4,XBTManager,"#LINK

We see the best support area for the #LINK price in the range of 4.04-6.71. The second support area is in the range of 6.71-7.90. If a sharp correction occurs, these areas might come into play. Be sure to take note of these areas. In my personal opinion, for #LINK, the https://t.co/fgBCqOncRL",Tue Jul 30 18:30:39 +0000 2024,11,185
5,Steve Courtney ~ Crypto Crew University,"🚨 #CHAINLINK Update - Holding support THREE times, #LINK continues to show fierce determination above $12. 💪

A bullish cross on the weekly #Stochastic RSI at 20 suggests upward momentum, targeting $18.5 resistance.

The 21 SMA is a 🔑 obstacle. 🧐 Will LINK break through? 🚀 https://t.co/2biINQc9ym",Sun Jul 28 18:59:39 +0000 2024,17,120
6,Vic 🌱,"Dinner party at Link's house! 

#totk #dungeonmeshi #link https://t.co/nHy8KnBHMz",Sat Jul 27 21:23:26 +0000 2024,205,1083
7,Daniel Ramsey,"#LINK/USDT Mid-Term Setup

$LINK is now re-accumulating above the KEY ZONE👀

Loading a bag here✈️ 

☑️1 Target - 34.74$
☑️2 Target - 42.90$ https://t.co/wrnq3OvOmA",Thu Jul 25 15:19:49 +0000 2024,22,128
8,Остроухий кибермаляр 🇦🇲,"Well... Thank Goddess Hylia!

#zelda #link  #ZeLink #ocarinaoftime #thelegendofzelda https://t.co/h6o9UfDc6M",Wed Jul 24 16:27:09 +0000 2024,200,1078
9,Author James K Rushing,"Happy #Wednesday for #booklovers!

Drop your #books #link #Blogs #poetry #URL #WIP &amp; let’s support each other 🥰

Like &amp; share so others can join
#WritingCommunity #writerscommunity #follo4follo #writerslift #ShamelessSelfPromo #authors #indieauthors #writers #poets #BookTwitter https://t.co/JYF5KUaTtX",Wed Jul 24 09:02:00 +0000 2024,28,71
10,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),"""a hairy situation"" 

#zelda #totk #tearsofthekingdom #legendofzelda #loz #sidon #link #lozcomic #sidlink if you squint enough- https://t.co/iWoQzSvXNP",Wed Jul 24 01:13:18 +0000 2024,104,763
11,Whales_Crypto_Trading 🐋,"💰 #ChainLink Macro Scale 

#LINK is a 3-Digits Coin🔥 

🐃 Bull Market Targets: 

🎯89$
🎯110$ 

$Link Marines are gonna wake up soon🚀

👇Crypto Traders-join Telegram👇 

https://t.co/caOlZBzS3k 
. https://t.co/HWaxAUvmtY",Tue Jul 23 02:20:00 +0000 2024,7,90
12,Crypto Kindie,"$LINK Monthly

A beast of a Monthly, this cycle is playing out like clockwork 🫡

Zoom out... #LINK is repeating the past cycle almost perfectly so far... and, like last cycle, it'll leave traders behind who too often get caught up in LTF noise.

The @chainlink HTF pattern:
&gt; https://t.co/BII7iXGmgY",Mon Jul 22 13:18:50 +0000 2024,59,298
13,Остроухий кибермаляр 🇦🇲,"I am so sorry.
(non-canon, but who cares?..)
For @Sesta68
#Zelda #Link #ZeLink #TheLegendOfZelda #TearsOfTheKingdom https://t.co/8PNcdVm3nO",Mon Jul 22 08:20:14 +0000 2024,102,965
14,Investing DeCrypted,"$LINK - Market cap RSI has been reset on the weekly. #Elliottwave structure is completed in this correction and we are ready for the next move! 🔥

@chainlink #link #Chainlink https://t.co/qZ1ZsD2uwd",Mon Jul 22 07:18:20 +0000 2024,11,144
15,Остроухий кибермаляр 🇦🇲,"Lil silly crossover
Drawn for my dear @Sesta68 
#crossover #tangled #rapunzel #zelda #link #zelink #TheLegendOfZelda #breathofthewild https://t.co/JcasLpxQkG",Sun Jul 21 13:48:44 +0000 2024,168,969
16,Whales_Crypto_Trading 🐋,"💰 #ChainLink Macro Scale 

#LINK is a 3-Digits Coin🔥 

🐃 Bull Market Targets: 

🎯89$
🎯110$ 

$Link Marines are gonna wake up soon🚀

👇Crypto Traders-join Telegram👇 

https://t.co/caOlZBzS3k 
. https://t.co/6jUY8QSnW7",Sun Jul 21 13:31:19 +0000 2024,14,137
17,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),"my headcanon is that while Sidon praises Link a lot, he is VERY WEAK to Link praising him back :)

#sidlink #シドリン #sidonxlink #BOTW #loz #lozfanart #BreathoftheWild #LegendofZelda #princesidon #link https://t.co/ltgdJ2sjoi",Thu Jul 18 14:43:54 +0000 2024,125,795
18,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),""" a new journey begins ""

#TOTK #TearsoftheKingdom #LegendofZelda #loz #lozfanart #Link https://t.co/tZ4ZsEqr7y",Wed Jul 17 15:54:08 +0000 2024,146,843
19,d m h,"#Chainlink #Link
Chainlink infrastructure. 🤔 https://t.co/zawM21za8y",Tue Jul 16 10:54:07 +0000 2024,13,150
20,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),"Zora Biology #1 🦈⚔️

( is it bad i had this idea in mind for a few months )

#sidlink #TOTK #TearsoftheKingdom #LegendofZelda #sidon #link https://t.co/veYL2HqhXL",Mon Jul 15 15:22:40 +0000 2024,121,1105
21,Henry,"$LINK Looks Horrendous 

Broke down the support and primed for a reversal, Ultimate Target of which is $19-$22.

Keep in mind that #LINK had a decent multi-year uptrend. Now it's time for a clear Bull cycle. 

Plus #Chainlink whales have bought up over 10 million #LINK in the https://t.co/HX9PPcfD5s",Mon Jul 15 07:35:41 +0000 2024,25,159
22,Vic 🌱,"I know I already posted this as a WIP, but here's the #sidlink drawing from the recent 6 ships thing I did ^_^ 

#totk #link #sidon https://t.co/zNznJXJAqR",Sat Jul 13 22:08:22 +0000 2024,178,1076
23,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),""" just your presence alone is enough for me ""

#sidlink #シドリン #sidonxlink #BOTW #TOTK #TearsoftheKingdom #BreathoftheWild #LegendofZelda #princesidon #link https://t.co/dTbFO3wW7f",Sat Jul 13 15:32:42 +0000 2024,232,1696
24,AMCrypto,"$LINK Price Update 🚨 

- Found major support around $11

- $13.5 is the key resistance to break

Once it breaks above $13.5, #LINK will pump hard 🚀 https://t.co/iSVsGTVM9f",Sat Jul 13 10:53:27 +0000 2024,21,151
25,Остроухий кибермаляр 🇦🇲,"I love them. So so much.
#Zelda #Link #ZeLink #TheLegendOfZelda #TearsOfTheKingdom https://t.co/wpakFoeDiG",Fri Jul 12 19:34:14 +0000 2024,45,336
26,"Michael W. Cook, author","Celebrate #ThrowbackThursday with a #writerslift!

#WritingCommunity, drop a #link to your FIRST book🥇

#ReadingCommunity, find a new favorite book 🥰

#Authors #BookBoost #amwriting  #mustread #amreading #WIP #booklovers #bookworm #TBThursday #TBT #booklovers #BookWorm #Reading https://t.co/OrmdZiq2qW",Thu Jul 11 04:20:45 +0000 2024,36,68
27,Danderfull,"I want a woman to see me like Malon looks at Link. I really hope they ended up together in one time line. :,) #zeldatwt #malon #link #shipping https://t.co/dKPJlX4aCF",Tue Jul 09 12:55:13 +0000 2024,59,364
28,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),"two hooded blonde hylian troublemakers wanted by the law 

#TOTK #TearsOfTheKingdom  #EchoesOfWisdom #LegendofZelda #Link #Zelda https://t.co/jvOcl1brCr",Tue Jul 09 12:26:55 +0000 2024,1442,7232
29,U.Today,Chainlink whales have purchased over 6.2 million LINK tokens amid the recent crash #LINK #Chainlink https://t.co/wLJxyPbsCJ,Mon Jul 08 11:58:58 +0000 2024,30,256
30,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),"sidon: graphic design is my passion 

i decided to make a blank one on the right if anyone's interested in trying out link's own reaction and a drawing of him!! 

#sidlink #シドリン #sidonxlink #BOTW #BreathoftheWild #LegendofZelda #princesidon #link https://t.co/5bhE9qtj0y",Mon Jul 08 11:47:50 +0000 2024,172,1187
31,Bookworm & Film Buff,"Must read: Books I can never forget https://t.co/uylHHtjTLV

Drop you #blog #link #books #WIP #cover #art &amp; I will RT all.

#BooksWorthReading #writerslift #WritingCommunity #AuthorsOfTwitter #writersoftwitter #ShamelessSelfpromo #writerscommunity #ShamelessSelfpromoSunday",Sun Jul 07 09:38:26 +0000 2024,38,71
32,Jets Going 16-1💚,@nellychillin Man I tell you the amount of women I was just social with then randomly see them post that #link I be like oh shit what I miss 😂,Sun Jul 07 05:41:28 +0000 2024,1,112
33,nellson (watching got s4),We was gang before the #link,Sat Jul 06 01:27:33 +0000 2024,2215,15591
34,VegaZ,"I like it🤫🤫🤫
#link #zelda https://t.co/lqB1XHAg5O",Fri Jul 05 21:11:13 +0000 2024,35,359
35,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),"somewhere in zora domain a zora is going feral

#link #botw #totk #legendofzelda #breathofthewild #tearsofthekingdom #sidlink #シドリン #sidonxlink https://t.co/0B04hNsrXT",Thu Jul 04 11:56:20 +0000 2024,312,2459
36,"Michael W. Cook, author","Happy Independence Day 🇺🇸 #FourthOfJuly 

Celebrate #ThrowbackThursday with a #writerslift!

#WritingCommunity, drop a #link to your best book🥇

#ReadingCommunity, find a new favorite book 🥰

#Authors #BookBoost #amwriting  #mustread #amreading #WIP #booklovers #bookworm https://t.co/9ohc23tllo",Thu Jul 04 10:06:48 +0000 2024,32,74
37,King T,"A spot $LINK ETF could happen soon.

Big Whales are accumulating $LINK!

Over 50 new wallets withdrew 2M $LINK worth $30.28M.

#LINK has also been seeing the same pattern over and over again. it looks ready for a second leg up to over 3x from here https://t.co/XaC7yhPQ9s",Wed Jul 03 06:01:32 +0000 2024,66,122
38,China Railway Engineering Corporation,"Lasted 7 years! The world-class cross-sea cluster project Shenzhen-Zhongshan #Link has been officially opened to #traffic!🎉We have participated in the #design, #supervision and #construction tasks, contributing CREC's wisdom to the construction of the Shenzhen-Zhongshan Link!✨ https://t.co/vi7zd9uois",Tue Jul 02 06:00:01 +0000 2024,22,253
39,MochiBoni 🇵🇸 ( Commissions CLOSED 1/1 ),""" get over here, big guy ""

( i always wanted to draw link pulling sidon's cravat close to him, also link's zora outfit is white cuz they're married- )

#sidlink #シドリン #sidonxlink #BOTW #BreathoftheWild  #LegendofZelda #princesidon #link https://t.co/g6y5c1oERh",Tue Jul 02 02:50:35 +0000 2024,154,967
40,Giacomo Boni,"Found this silly Link sketch from around a year ago... it was layin' in a forgotten folder.

Thought it might have been time to finish it.

#Zelda #Link #Nintendo #linktothepast https://t.co/IH9105uidi",Mon Jul 01 23:11:42 +0000 2024,33,164
