Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,Dr.VivianS,"Hey Minister of LONG-TERM CARE, want to talk about LONG-TERM CARE? Because I’m still hearing from frontline staff in #LTC about deadly outbreaks happening as we speak, @NatKusendova 🤷‍♀️👇(shared with permission, as per usual). https://t.co/hCR2mw7nVf",Thu Aug 01 15:25:04 +0000 2024,138,282
2,Marc ⚡️ 10X,"$LTC vs #BTC ✨️
Litecoin is finally getting ready to be sent! 🌙🚀👨‍🚀
#ltc #Litecoin https://t.co/cemUv7oU9L",Thu Aug 01 00:37:39 +0000 2024,13,84
3,Max Darachi,Glad to see #kas flip #matic. But about time. #matic should be dead anyway; it is technically obsolete. Any #ltc #matic holders should flip to #kas. Delaying only diminishes relative wealth. https://t.co/3esg2lrp9K,Wed Jul 31 20:07:36 +0000 2024,17,111
4,Why Litecoin,"Everything seems to be lining up for #LTC.

Innovative technologists reminiscent of the early BTC days building on #LTC (e.g. @DavidBurkett38 , @Truthcoin)

Core hardened supporters developing conviction and educating at a time when maxi culture has already peaked and is on the",Wed Jul 31 19:19:21 +0000 2024,23,83
5,Crypto News Flash,"Charlie Lee to Boost #Litecoin Foundation with $250,000 Matching Fund Over Next 5 Years
#LTC $LTC
https://t.co/pSy5CxRKVo",Wed Jul 31 14:53:53 +0000 2024,20,101
6,Surf,"Is 69 the new 4?  

$LTC #LTC #Litecoin https://t.co/nezkTq8Pbc",Wed Jul 31 12:58:44 +0000 2024,11,108
7,Tom Crown,Here I go again buying more #ltc,Wed Jul 31 04:35:57 +0000 2024,10,152
8,Sean | P2P digital cash,"I’ve used #BTC #BCH #LTC, #XMR, Kas, Nano, Dash, XEC. 

Every single one is superior against Bitcoin core as digital cash.",Mon Jul 29 17:24:13 +0000 2024,12,181
9,Litecoin Ricky Ⓜ️🕸️,The #Litecoin monthly chart candle closes this week the Bollinger Bands are squeezing tight while the most bullish reversal hammer candlestick is currently forming👀 $LTC #LTC https://t.co/qFChjsK2nj,Mon Jul 29 10:47:44 +0000 2024,21,149
10,ZAYK Charts,"$LTC Falling Wedge Breaking out in 1D Timeframe✅

Expecting Massive Bullish Wave📈

#LTC #LTCUSDT #Litecoin #Crypto https://t.co/3IjSWgedDp",Mon Jul 29 05:45:31 +0000 2024,33,146
11,Matthew Dixon - CEO Evai,Plenty of upside left for #LTC as we have only completed wave 1 of the larger 5th wave higher https://t.co/ntjIc6Y0Lf,Sun Jul 28 19:30:02 +0000 2024,43,209
