Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,Max Darachi,"And #kas now eats #matic. Why anyone holds Matic, I've got no clue - it's a technically obsolete token. Any holders with sense should flip to Kaspa, or get drained forever more. https://t.co/yOCrCz2uvz",Thu Aug 01 08:04:02 +0000 2024,22,167
2,Max Darachi,Glad to see #kas flip #matic. But about time. #matic should be dead anyway; it is technically obsolete. Any #ltc #matic holders should flip to #kas. Delaying only diminishes relative wealth. https://t.co/3esg2lrp9K,Wed Jul 31 20:07:36 +0000 2024,17,111
3,KASPA Enthusiast 𐤊,"#Kaspa has just overtaken #Matic🔥

$LEO and $LTC are next! https://t.co/pxFzrMCdrp",Wed Jul 31 19:44:09 +0000 2024,81,477
4,KaspaFacts 𐤊,"#Kaspa has just flipped #MATIC 

$KAS #KRC20 https://t.co/jAMIDC4Cjf",Wed Jul 31 19:43:11 +0000 2024,24,177
5,ImaginaryXNFTs 💛,"Drop your NFTs 👇
#SupportEachOthers 

Like 💖 | RT ✅ l Follow 💯
Tag 2 Friends 🔖

#Tezos #Matic #ETH #BTC https://t.co/DHUxYK1ERq",Wed Jul 31 18:32:33 +0000 2024,33,125
6,Eyal Yablon𐤊a,"We passed Polygon?

$KAS with the market cap of $MATIC would put 1 $KAS to $0.196506 

That's a decrease of 4.90% 📉  

#kas #matic 
#kaspa #matic-network 

https://t.co/svp8E1VOBZ via @MarketCapOf",Wed Jul 31 16:43:29 +0000 2024,7,93
7,Horlamïpvcee🔺,"Get ready for a purr-fectly intense gaming experience!

 🎮🐈 Paula's eager to play ScreamingKitties, but it's a token-only game! 

Who else is ready to cash in their KITTY tokens for a chance to unleash their inner bloodthirsty kitty? 

$MATIC #Polygon #MATIC @0xPolygon",Wed Jul 31 05:50:10 +0000 2024,52,49
8,KaspaFacts 𐤊,"#Kaspa in the green.

200M from flipping #MATIC 

$KAS will continue its march to number 1 where it will replace Bitcoin. https://t.co/dHvrnpOU0r",Tue Jul 30 22:46:06 +0000 2024,14,148
9,EverRise,"🔒 Stay safe and take control over who has access to your wallet!

Revoke token approvals on #BNB, #ETH, #MATIC, #AVAX and #FTM by utilizing #EverRevoke.

Powered by #EverRise.

https://t.co/x4uf1LDjym https://t.co/2ohC5s59kx",Tue Jul 30 14:05:13 +0000 2024,41,100
10,ImaginaryXNFTs 💛,"Drop your unsold NFTs 👇
Buying From Followers 👇

#SupportEachOthers 
#ETH #XTZ #MATIC #BTC https://t.co/9Tq0tBeS9B",Sat Jul 27 16:18:26 +0000 2024,38,176
11,YOOGI🐸 0x69,"While tards continue to pump and dump shitcoins, I continue to accumulate $PEPE that just flipped #MATIC in market cap. https://t.co/s80cRRDUeS",Sat Jul 27 10:11:06 +0000 2024,12,91
12,ImaginaryXNFTs 💛,"Drop your unsold NFTs 👇
Buying From Followers 👇

#SupportEachOthers 
#DropYourNFTs
#ETH #XTZ #MATIC #BTC https://t.co/Z6k0YNEnk6",Thu Jul 25 19:10:59 +0000 2024,25,109
13,The Cryptomist,"Imagine buying #Eth at $2550 &amp; selling at $10k
Imagine buying #Sol at $130 &amp; selling above $500
Imagine buying #Matic at 40 cents &amp; selling around $7
Imagine buying #Doge at 8 cents &amp; selling at $1. 

The final opportunity for life changing money is here. 
Don't mess it up.",Thu Jul 25 08:16:10 +0000 2024,11,168
14,ThePassengers,"#Giveaway

$100 $USDT 

Requirements:

• Following   @Quilson_xyz
• Like, RT 
 • Tag 3 Friends   Comment #Quilson 

#Bitcoin #Binance #Ethereum
#Solana #AVAX #SOL #shiba #doge 
#cryptocurrency #matic #polygon 
#Crypto #BTC #BTCUSDT #XRP #BNB #ETH #SHIB",Wed Jul 24 17:56:51 +0000 2024,649,654
15,ImaginaryXNFTs 💛,"Drop your NFTs 👇
#SupportEachOthers 

Like 💖 | RT ✅ l Follow 💯
Tag 2 Friends 🔖

#Tezos #Matic #ETH #BTC https://t.co/gAr7oDSQBz",Wed Jul 24 15:44:34 +0000 2024,25,95
16,Catgirl,"🚨 IMPORTANT ANNOUNCEMENT 🚨

Big changes are coming to Catgirl, MUST READ: 👇
https://t.co/lBXPcmNzFc

#CatgirlCoin #MultiChain #DAO #ETH #BSC #BASE #AVAX #OP #MATIC #ARB",Tue Jul 23 17:18:57 +0000 2024,67,193
17,ImaginaryXNFTs 💛,"Drop your unsold NFTs 👇
Buying From Followers 👇

#SupportEachOthers 
#ETH #XTZ #MATIC #BTC https://t.co/tXaw9krKoc",Tue Jul 23 14:32:11 +0000 2024,36,134
18,Whale Alert,"🚨  32,547,152 #MATIC (17,221,962 USD) transferred from unknown wallet to Polygon Staking

https://t.co/PMuFe8oZYL",Tue Jul 23 08:14:18 +0000 2024,14,153
19,Horlamïpvcee🔺,"Revving up the future of energy! 

Meet @PowerPod_People, building a decentralized Internet of Energy for EVs to travel freely. 
Join the charge on today!!👇🏿

@0xPolygon $MATIC #MATIC #Polygon",Tue Jul 23 05:58:48 +0000 2024,49,46
20,Horlamïpvcee🔺,"There is still an huge chance for you to earn more on #Polygon hub this week!

You can still earn from up to 14 tweets for this week. Make quality tweets to earn more.

@0xPolygon $MATIC #MATIC https://t.co/39SOFW7yIb",Tue Jul 23 05:54:02 +0000 2024,56,55
21,Horlamïpvcee🔺,"Check this out guys!

Earned some $MATIC points on tweets and retweets yesterday!

You can always earn more points too! Make quality tweets and retweet @0xPolygon posts.

#Polygon #MATIC https://t.co/kqTKRHpi9J",Tue Jul 23 05:52:32 +0000 2024,48,46
22,JD 🇵🇭,"#XRP - if we can confirm a candle body close above trendline, 0.75 will be next! Update on Patreon/Discord tonight!

Will also post $BTC $AZERO #OP #VANRY #CPOOL #VECHAIN #TLM #MATIC #DMTR #ETC #QQQ &amp;more on Patreon/Discord this week!

This cycle been LIFE CHANGING for the 5%!🙏 https://t.co/3LsHnWGcmT",Sun Jul 21 22:29:55 +0000 2024,45,278
23,ImaginaryXNFTs 💛,"Drop your unsold NFTs 👇
Buying From Followers 👇

#SupportEachOthers 
#DropYourNFTs
#ETH #XTZ #MATIC #BTC https://t.co/vq1mQDSm2j",Sun Jul 21 17:19:06 +0000 2024,29,148
24,ImaginaryXNFTs 💛,"Drop your NFTs 👇
#SupportEachOthers 

Like 💖 | RT ✅ l Follow 💯
Tag 2 Friends 🔖

#Tezos #Matic #ETH #BTC https://t.co/OOHvWm4OYw",Sat Jul 20 18:02:44 +0000 2024,26,112
25,Hope.eth,"MAKE POLYGON GREAT AGAIN!

@sandeepnailwal ITS TIME!

#Polygon #Matic https://t.co/58Ygr0FEmS",Sat Jul 20 17:17:29 +0000 2024,14,122
26,ImaginaryXNFTs 💛,"Drop your unsold NFTs 👇
Buying From Followers 👇

#SupportEachOthers 
#ETH #XTZ #MATIC #BTC https://t.co/XYAkNsmA7l",Fri Jul 19 14:25:31 +0000 2024,31,113
27,ImaginaryXNFTs 💛,"Drop your unsold NFTs 👇
Buying From Followers 👇

#SupportEachOthers 
#DropYourNFTs
#ETH #XTZ #MATIC #BTC https://t.co/JJ7BflS3wW",Wed Jul 17 13:08:00 +0000 2024,40,140
28,Rich Mind 🇬🇷🇪🇺,"#Matic run is coming for $VRA.
A multi-billion MC is unavoidable.
📈📈📈📈",Wed Jul 17 12:10:53 +0000 2024,21,222
29,ImaginaryXNFTs 💛,"Drop your NFTs 👇
#SupportEachOthers 

Like 💖 | RT ✅ l Follow 💯
Tag 2 Friends 🔖

#Tezos #Matic #ETH #BTC https://t.co/brKHsUjBph",Fri Jul 12 18:30:11 +0000 2024,32,110
30,EverRise,"⚙️ #EverMigrate: Your one click migration solution. Forget about time-consuming manual calculations and airdrops. EverMigrate does everything for you in just a few clicks. ✨ 

Available on five chains: #BNB, #ETH, #MATIC, #AVAX &amp; #FTM.

🌐 Learn more: https://t.co/IbCkCLWYDK https://t.co/TOZaEnVzND",Thu Jul 11 16:30:47 +0000 2024,43,93
31,ImaginaryXNFTs 💛,"Drop your unsold NFTs 👇
Buying From Followers 👇

#SupportEachOthers 
#ETH #XTZ #MATIC #BTC https://t.co/kj3K0JyHxT",Thu Jul 11 14:03:54 +0000 2024,30,160
32,Daniel Veroc ⚡️#EGLDSqueeze,"I'm continuing to squeeze lemon into the pot and EGLD into my wallet. Additionally selling 5,440 more of the highly centralized #MATIC (Polygon), where a few people can steal your funds, for #EGLDSqueeze. 

https://t.co/Gqm5pqlaQ5",Sun Jul 07 16:55:22 +0000 2024,42,154
33,Daniel Veroc ⚡️#EGLDSqueeze,"Anyone who can help simple guy what will be most cost effective way to transfer 60k USD #WETH from (#Polygon) to #EGLD? Change WETH to #MATIC then transfer via Polygon Bridge to Ethereum Mainnet, then transfer Polygon to #Binance then change WETH to USDT and then #EGLDSqueeze?",Sun Jul 07 12:23:17 +0000 2024,38,175
34,Coincards.com - Buy Gift Cards with Bitcoin!,"Here's a breakdown of usage (by $ volume) on Coincards by percentage in June '24:  

#XMR: 34.4%
#BTC (Onchain): 25.96%
#USDC: 20.20%
#ETH: 9.84%
#LTC: 2.49%
#Solana: 2.31%
#Dogecoin: 2.09%
#LightningNetwork: 2.08%
#USDT: 0.58%
#Dai: 0.04%
#Matic: 0.01%
#Dash: 0%",Sat Jul 06 21:33:08 +0000 2024,42,162
35,Jolt,"$BONE is head to head with $MATIC when it comes to price action (atm), but actually outperforming it #Shibarmy … 

#BONE up 13.51% in last 24 hrs and down 31.83% YTD

#MATIC up 5.5% in last 24 hrs and down 52.35% YTD 

#Shibarium https://t.co/7fOkYQVhN1",Sat Jul 06 12:08:19 +0000 2024,42,169
36,Kristofe GRC | MultiversX,"The #EGLDSqueeze conviction is too strong. 

The tech, team, &amp; community are too strong. 

#MultiversX is the most enjoyable eco I've used, the safest for my cash &amp; guess what what happens when they announce native stable..?

Ppl be left behind crying!
#Ethereum #solana #matic https://t.co/g3hg1sEUzy",Sat Jul 06 07:35:42 +0000 2024,21,97
37,Van💎DAM𝕏.EGLD,"The #EGLDSqueeze conviction is too strong. 

The tech, team, &amp; community are too strong. 

#MultiversX is the most enjoyable eco I've used, the safest for my cash &amp; guess what what happens when they announce native stable..?

Ppl be left behind crying!
#Ethereum #solana #matic https://t.co/1K9PGjrUiG",Fri Jul 05 09:12:54 +0000 2024,21,115
38,ImaginaryXNFTs 💛,"Drop your unsold NFTs 👇
Buying From Followers 👇

#SupportEachOthers 
#DropYourNFTs
#ETH #XTZ #MATIC #BTC https://t.co/XbXsYdmN80",Thu Jul 04 16:38:04 +0000 2024,38,149
39,⚡️EL⚡️,"#VOLT escorting the last of the bears 🐻 out.

The bears will soon take their leave. 
And the bulls will run wild all through #crypto! Remember,  the #bullrun is inescapable, inevitable ⚡️💯 
#HODL #VOLTINU #VOLTARMY #CryptoInvestors #Ethereum #BNB    #MATIC #ETHMemeCoin https://t.co/3TwUXwOREH",Thu Jul 04 16:04:05 +0000 2024,81,121
40,EL MUSA ⚡️🔌,"#VOLTINU'S ROAD TO $1.00 MIDDAY RECAP &amp; PROJECT NEWS goes live at 2PM EST!

Stream: https://t.co/EGHGuGKedR

Follow @VOLTINUOFFICIAL FOR ALL THE UPDATES! ⚡ 🫡 👑

#VOLT #VOLTARMY #ETH #BSC #MATIC https://t.co/YwQQ6P36pi",Wed Jul 03 17:00:35 +0000 2024,66,98
41,ImaginaryXNFTs 💛,"Drop your NFTs 👇
#SupportEachOthers 

Like 💖 | RT ✅ l Follow 💯
Tag 2 Friends 🔖

#Tezos #Matic #ETH #BTC https://t.co/TNR0EcC67t",Wed Jul 03 16:00:39 +0000 2024,34,100
42,Adeyemo Victoria,"Join #Polygon Labs at EDCON2024 in Tokyo!🚀
📅 When: July 26 - 29
🌍 Where: Tokyo, Japan🎉 

Polygon Labs is proud to sponsor EDCON2024, the premier event for developers and blockchain enthusiasts! Join us at the Aggregation Cave for four days of intense developer hangouts.#MATIC",Wed Jul 03 06:48:18 +0000 2024,54,54
43,TRON DAO,"🌐#TRON is not just leading the stablecoin market but also transforming how businesses operate globally.

📊 Share of Stablecoin Transactions by Blockchain on Orbital:

#TRON : 97.62%
#ETH:  2.12%
#SOL: 0.21%
#BNB: 0.05%
#MATIC : 0.01% https://t.co/ciyfyO41cV",Tue Jul 02 16:11:34 +0000 2024,65,228
44,ImaginaryXNFTs 💛,"Drop your unsold NFTs 👇
Buying From Followers 👇

#SupportEachOthers 
#ETH #XTZ #MATIC #BTC https://t.co/bAGCdRDcGB",Tue Jul 02 15:47:38 +0000 2024,33,153
45,ADEYEMO ELIZABETH WAX👑,"Exciting Announcement for EthCC Attendees!🌟

Heading to @EthCC? Don't miss out on the second installment of Aggregation Day in Brussels!

🗓️ Date: July 9, 2024
📍 Location: Brussels, Belgium
 @0xPolygon 
#MATIC https://t.co/GIX53EQfM6",Tue Jul 02 06:15:35 +0000 2024,61,60
46,EL MUSA ⚡️🔌,"#VOLTINU'S ROAD TO $1.00 MIDDAY RECAP &amp; PROJECT NEWS goes live at 3PM EST [for today]!

Stream: https://t.co/EGHGuGKedR

Follow @VOLTINUOFFICIAL FOR ALL THE UPDATES! ⚡ 🫡 👑

#VOLT #VOLTARMY #ETH #BSC #MATIC https://t.co/s4b68Bty4P",Mon Jul 01 17:04:17 +0000 2024,51,84
