Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,Daniel Veroc ⚡️#EGLDSqueeze,"Why I’m all in (5mil$+) on #EGLD. Most scalable &amp; decentralized blockchain (3555 nodes) and world class UI/UX ✅

Why I sold #NEAR, #TON, #ETH, #BTC #AVAX, and why I avoid #SOL and #XRP, etc. I’ve never seen a more asymmetric bet in my life 📈🚀 Check (24) #EGLDSqueeze thread 👇",Thu Aug 01 18:10:25 +0000 2024,71,228
2,aescobar.btc,"GM #NEAR 🚀

I swapped 10  $MOON Relics by @MeteorWallet.

These RELICS will be distributed to 10 lucky DEGENs!

To enter, follow, comment with your wallet ID, and tag 3 friends. 🌗 https://t.co/3NWbaF2DrM",Thu Aug 01 10:19:51 +0000 2024,57,108
3,Daniel Veroc ⚡️#EGLDSqueeze,"I don't know who wants to hear this, but there is no such thing as second best.

After my 10,000+ hours analysis, #EGLD is far better in every aspect than #ETH #SOL #TON #NEAR #SUI #AVAX #BNB #XRP.

Do you think I'm right? If not, tell me why. Show me your investment thesis 👇",Wed Jul 31 13:15:22 +0000 2024,29,93
4,Ref Finance,"GM #NEAR   

Counting days 📅 https://t.co/w07quWd2DU",Tue Jul 30 14:57:11 +0000 2024,53,132
5,Paras 🟩🟧,"Excited for @MeteorWallet's Harvest $MOON launch!🌗

The Paras Team is giving away 1 Relics NFT to our friends in #NEAR, NEAR Community can also get their Relics NFT using the link below. 🏚️

https://t.co/HiyYme7EVo

To Participate in the giveaway 
- Follow @ParasHQ, @ArkanaHQ &amp; https://t.co/Dpd9jJf5pC",Mon Jul 29 01:07:00 +0000 2024,87,163
6,Daniel Veroc ⚡️#EGLDSqueeze,"#EGLDSqueeze community is NOT STOPPING! We're continuing what we started. Let's educate everyone from amazing communities on #SOL #ETH #XRP #AVAX #TON #NEAR #SUI #BNB #TRON what we have accomplished. #MultiversX (#EGLD) is most scalable, secure &amp; decentralized L1 chain, TODAY!",Sun Jul 28 15:33:54 +0000 2024,34,121
7,⛓️🫀💌Misa💌🫀⛓️,strawpage requests part 1 !!! #deathnote #near #mello https://t.co/cQj32tFIpo,Thu Jul 25 18:52:02 +0000 2024,70,459
8,Arno,"This is the first, and only, fully sharded blockchain in all of crypto ⛓️

We’re not talking about #NEAR or #TON 

We’re talking about #EGLD

All the other chains had the time to implement it. They simply couldn’t, and their founders said “it’s impossible”

I invite everyone to",Wed Jul 24 19:26:45 +0000 2024,44,121
9,Daniel Veroc ⚡️#EGLDSqueeze,"Users of #SOL #XRP #AVAX #TON #NEAR should know why I invested ~$4,032,015+ in 27 days into #EGLD = #ETH 3.0 ✅

What @VitalikButerin envisioned for ETH—unlimited scale and decentralization via sharding—is realized by @MultiversX! 

SHARDING is a MUST⚡️#EGLDSqueeze is #Gamestop. https://t.co/skPjRlP4Tu",Wed Jul 24 11:33:19 +0000 2024,239,580
10,Daniel Veroc ⚡️#EGLDSqueeze,"THERE IS NO 2ND BEST. #EGLD IS ONLY ONE BLOCKCHAIN THAT CAN RULE THEM ALL.

✅ UNLIMITED SCALING
✅ SCARCE AS #BTC
✅ PROGRAMMABLE AS #ETH
✅ NO DOWNTIME AS #SOL
✅ UI/UX OF @Apple
✅ SHARDING DONE BEFORE #NEAR #TON
✅ BEST WALLET @xPortalApp WITH GUARDIAN

#EGLDSquezee is #GME. https://t.co/G4CrZ9euC1",Mon Jul 22 17:50:46 +0000 2024,121,333
11,Hamid,"$NEAR is on fire, up +50% so far recently! 

Now, we are looking for further uptrend while it breaks the recent resistance which seams weak — LFG 🔥

#NEAR @NEARProtocol https://t.co/KVubGJTCHE",Mon Jul 22 17:36:11 +0000 2024,25,125
12,Thunderhood ⚡️,"To start the week, @ZeusThunderhood told us to collect #NEAR Wallets.",Mon Jul 22 11:39:18 +0000 2024,28,127
13,Daniel Veroc ⚡️#EGLDSqueeze,"The funds raised by #SOL and #NEAR are crazy...
The things that #EGLD has done with 5m is unbelivable",Mon Jul 22 08:27:26 +0000 2024,32,153
14,Ref Finance,"One DEX to rule the world, only through the #NEAR Chain Signature 📜.

Drop your wallet and get ready 😱!

Drop it @NEARProtocol @proximityfi https://t.co/JbvqsA5P2r",Sun Jul 21 02:02:45 +0000 2024,99,197
