Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,KYE,You just ain’t ready what $QUBIC is about to put on the table! If you fade I don’t care somebody else will get rich in your place. #qubic #ai,Thu Aug 01 19:22:54 +0000 2024,22,136
2,Come-from-Beyond,"@taxesRscam Community said ""Fuck the founder, #Qubic is decentralized, we want lower supply limit"".",Thu Aug 01 19:18:49 +0000 2024,28,271
3,Come-from-Beyond,"Frequently asked (recently) question:
What if #Qubic supply reaches its max value, will the network stop?

Answer:
No, the miners will stop mining and the Quorum won't be updated until we burn enough for mining to resume.

It's new tech which doesn't have cons of Bitcoin clones.",Thu Aug 01 11:42:10 +0000 2024,89,407
4,Cily🌵𐤊🍹,"I'm extremely disappointed with $qubic. Yesterday, I sold 20 billion. I don't want to hold even one $Qubic now.

Farewell to this disgusting AI project. Bye
#Qubic  #CFB",Wed Jul 31 03:51:55 +0000 2024,7,260
5,KYE,"The shit that has been going around about $QUBIC. Well guess what, we have nothing to hide! I keep saying we will be the highest R/R coin in the space. Good luck fading. #qubic #ai",Mon Jul 29 19:20:00 +0000 2024,18,118
6,KYE,This weirdly insecure human being can get ready to delete his account in a few months from now. The concept of crowning a winner at the end of a race is unknown to him since he has never experienced winning. $QUBIC is and will be the highest R/R coin this cycle. #qubic #ai,Mon Jul 29 10:55:32 +0000 2024,18,129
7,Burn Qubic,"🚀 Big news for $Qubic! 

Introducing Qubic Quest, a game-changing mobile puzzle that's set to revolutionize blockchain gaming.
 
The future of Qubic is looking brighter than ever! 🧩🎮

#CryptoNews #Qubic",Sun Jul 28 05:25:11 +0000 2024,44,206
8,Cily🌵𐤊🍹,"$Qubic is the only blockchain project that does not require the transfer of gas fees. 

Zero gas fee wherever the send and receive between Qubic wallet, even from Qubic wallet to exchange.

Seriously, ask, did any other project truly achieve zero fees?

#QUBIC #ZeroGasFee https://t.co/KwsdSObj96",Sun Jul 28 02:28:13 +0000 2024,26,202
9,Come-from-Beyond,"An idea about self-developing #AI, found by #Aigarth (https://t.co/VxQAUfHPrQ), has been re-found by https://t.co/Wo1Iy5EOnQ.
Yet another confirmation that we are on the right track.
#Qubic https://t.co/i2dyPz7eU6",Sat Jul 27 19:36:36 +0000 2024,157,585
10,Rudy Nakamoto ₿ ױ,"🛠️ Legendary member of https://t.co/lLQSPb3wqQ, Sergey Ivancheglo aka « comefrombeyond », registered on November 22, 2011, and has over 16,000 posts. Known for revolutionary contributions like $NXT, $Qubic, and #IOTA. Here's an excerpt from his #Qubic presentation:

"" $Qubic is a https://t.co/t4lGoROiB3",Thu Jul 25 14:59:41 +0000 2024,24,144
