Tweet_Count,Username,Text,Created_At,Retweets,Likes
1,Lola,"IMO Stock and CRYPTO Market have fears of Global recession because Kamala Harris is leading on some polls .  Not sure if this is the environment you want moving forward by voting for her . Remember this is your children's future , your 401K and your life savings #Trump2024 #SHIB https://t.co/OaONSBKc3y",Fri Aug 02 22:47:50 +0000 2024,35,111
2,Lola,"When stock market is down , #Bitcoin #SHIB should show resilience and move up so that people can understand the meaning of HEDGE  🚀

Cmon @saylor we want 69K BTC 🚀
SHIB needs to go back higher 🚀",Fri Aug 02 21:47:10 +0000 2024,10,107
3,Lola,"Crazy Market
I hope you are ok #SHIBARMY

We need you to break some attitude #SHIB and move higher 🚀",Fri Aug 02 21:37:15 +0000 2024,20,166
4,CRYPTO SHIB,"Buy More #SHIB Today?

NO                                 YES
👇                                    👇 https://t.co/Wqwq8KZs64",Fri Aug 02 21:10:32 +0000 2024,26,191
5,Olcay Saka,"My comments are valid for $FLOKI. The market may not allow it, but #Floki will turn the crisis into an opportunity. 

A quality project is not a coincidence..✊

@RealFlokiInu 📈 #HODL ✅

#FLOKI #DOGE #SHIB #PEPE #WIF #BTC #Bitcoin #Ethereum #ETH #MEME #Borsa https://t.co/QzZcf9K2v6",Fri Aug 02 18:29:54 +0000 2024,31,196
6,Shiba Arab army™,"This petition is for #SHIB and not personal at all. @binance and those behind them always need a community. I am an ordinary person who does not have a million followers and does not have a competing company to sit with someone like @_RichardTeng . Of course, he does not care https://t.co/23nA6Pchkz",Fri Aug 02 15:37:50 +0000 2024,71,172
7,Whale X,"1 Massive pump can change your life

#SHIB TO $0.01 soon🔜🔥🚀 https://t.co/dOdXabUNWx",Fri Aug 02 14:40:23 +0000 2024,43,237
8,CRYPTO SHIB,"1 MASSIVE PUMP CAN CHANGE YOUR LIFE 🚀🚀🚀🚀🚀🚀

#SHIB TO $0.01 🚀 🚀🚀🚀🔥🔥🔥🔥 https://t.co/kiSbxAkqfO",Fri Aug 02 12:00:04 +0000 2024,81,382
9,U.Today,"The $SHIB ecosystem is growing exponentially, according to a #SHIB member @LucieSHIB https://t.co/hX5sI2U6YM",Fri Aug 02 10:43:57 +0000 2024,67,263
10,SHIBCrowd,"The Biggest Green Candle Is Coming Just Wait And Watch #SHIB Dreamer⏰🚀 

Let's Go #ShibaInu #SHIBARMY 🚀 https://t.co/zZVnppiF7P",Fri Aug 02 10:04:42 +0000 2024,28,170
11,CRYPTO SHIB,The Biggest $SHIB Green Candle Is Coming Just Wait And Watch #SHIB Dreamer ⏰🚀 Let's Go #SHIBARMYSTRONG #SHIBARMY 🚀 https://t.co/DRNcGYUo9n,Fri Aug 02 08:09:21 +0000 2024,51,251
12,TheCryptoBasic,"From Zero to Hero: #ShibaInu Surges 150,000,000% in Just Four Years #SHIB #SHIBCommunity #SHIBARMY 
https://t.co/2Wzy98cx7p",Fri Aug 02 06:34:00 +0000 2024,48,178
13,U.Today,ICYMI: massive August rally could be on horizon for #ShibaInu if history repeats itself https://t.co/FzIaqRbvZT #SHIB $SHIB #SHIBArmy,Thu Aug 01 22:01:27 +0000 2024,26,135
14,RagnarShib.eth,Happy Birthday $SHIB thanks to @RyoshiResearch for giving this great project to the community and thanks @ShytoshiKusama @kaaldhairya @Shibtoken and everyone who has made this Dream we are living right now possible. Let’s go #Shib !!! https://t.co/hCp0Wdh6An,Thu Aug 01 20:55:40 +0000 2024,61,165
15,SHIB Mortal,"I’m buying more #SHIB today‼️

#Shill me your best #1000x gem💎👀👇 https://t.co/4Sm14gebrt",Thu Aug 01 20:32:07 +0000 2024,25,226
16,Lola,"This maybe a good time to burn some #SHIB if you have extra...Best time to DCA too if you bought at a higher price

Just what i tweeted yesterday , expect volatility after FOMC unchanged rates . I am holding strong",Thu Aug 01 19:14:16 +0000 2024,29,169
17,altcoinfnatic,"Let’s gooo🔥🔥 @theLTDtoken just announced partnership with @badideaai. $LTD JUST GETTING STARTED 🔥🔥🔥

#SHIB #SHIBCommunity",Thu Aug 01 18:37:06 +0000 2024,95,107
18,SHIBCrowd,"$SHIB Will Make You A Millionaire!💵
I am confident #SHIB is going to $0.01 Do you agree?🔥🤑 #ShibaInu #Crypto #SHIBARMY https://t.co/TbGpdg3Xbu",Thu Aug 01 16:07:25 +0000 2024,52,233
19,SHIBKIND 🔥,"The issue with connecting your MM wallet to #ShibaSwap is fixed 😋
Now you can connect directly with your phone to #ShibaSwap #Shibarium without any troubles!!!
Bridge your $SHIB to #Shibarium 
#Shibarium #ShibaSwap #crypto #shib #bone $CENT #btc #eth https://t.co/cuTnI253ok",Thu Aug 01 15:37:54 +0000 2024,33,90
20,Lola,"#SHIB $100 Million in Shiba Inu (SHIB) in 24 Hours, What's Happening? 👇

https://t.co/LNAGkRYBZt",Thu Aug 01 14:50:38 +0000 2024,61,288
21,Shiba Arab army™,"Shiba Inu is the best digital currency because this man supports it. Do as @VitalikButerin did and burn #SHIB through the petition. Let's get rid of half of the supply as well.

🔗 https://t.co/ANJKuNSkft ✍️

#SHIB #SHIBARMYSTRONG #SHIBCommunity #shibaarab_army #shib https://t.co/r4qjkywSvv",Thu Aug 01 14:22:02 +0000 2024,76,207
22,CRYPTO SHIB,"HAPPY 4TH BIRTHDAY TO LOVELY #ShibaInu  🎂 
Where are you #SHIBARMY , show your ❤️ to $SHIB 

#1centdream #shibaArmy #SHIB #Shibarium #shiba #SHIBARMYSTRONG https://t.co/zDIQr2J1bv",Thu Aug 01 14:17:42 +0000 2024,38,218
23,SHIB POSSESSOR,The Biggest $SHIB Green Candle Is Coming Just Wait And Watch #SHIB Dreamer ⏰🚀 Let's Go #SHIBARMY 🚀 https://t.co/0sr5aD441Z,Thu Aug 01 12:47:02 +0000 2024,22,165
24,U.Today,Shiba Inu has witnessed a massive surge of 56.12% in one of the most crucial metrics #ShibaInu #Shiba #SHIB #ShibArmy #ShibPrice #Shibarium https://t.co/HbJurlJPEm,Thu Aug 01 12:23:04 +0000 2024,23,128
25,U.Today,"Shiba Inu (SHIB) turns 4 years old, while price history screams bullish #shibainu #shib #shibarmy #shibtoken #shibarium #shibaeternity #shibburn $shib $bone https://t.co/boFalP15M8",Thu Aug 01 11:53:50 +0000 2024,30,146
26,U.Today,.@Shibtoken burning might set new pace for price surge #ShibaInu #SHIBA #SHIB $SHIB https://t.co/UQjciMpudF,Thu Aug 01 10:03:31 +0000 2024,34,199
27,SHIB POSSESSOR,"I’m buying more #SHIB today‼️
#Shill me your best #1000x gem 💎 https://t.co/2kq6MDXt0a",Thu Aug 01 07:21:53 +0000 2024,15,156
28,Lola,"Happy Birthday #SHIB 
August 1 

Wishing all #SHIBARMY a great success
We should get a little party pump right?",Thu Aug 01 05:51:08 +0000 2024,73,348
29,Shibburn,"🔥🔥🔥 379,473,801 $SHIB tokens have been burned in the month of July with 178 transactions. #SHIB https://t.co/7E7gPbbk4U",Thu Aug 01 04:02:10 +0000 2024,47,301
30,Lola,"ETH is not moving against BTC 
Solana is the only one moving 

#BNB needs to move up
#XRP needs to move up 
#SHIB needs to move up
#DOGE needs to move up

We need this for ALTSEASON
unless we will just wait for BTC to move higher
accept it, market changed without CZ 😂",Thu Aug 01 03:28:08 +0000 2024,22,141
31,Lola,"All markets from stocks and crypto are disappointed that FED didnt cut the interest rate today but a cut can happen on transitional September as we start a new Fiscal Year on October . 

I am still bullish for #SHIB and crypto this market cycle although we might need to expect https://t.co/hpEPz6Xpaw",Thu Aug 01 02:04:55 +0000 2024,24,151
32,SHIBKIND 🔥,"Wen #Shibarium L2?

#Shibarium #shib #bone #BTC #Eth #crypto $CENT https://t.co/2S6YVaPGOA",Wed Jul 31 23:13:24 +0000 2024,24,126
33,JustAMillionaire 🗿,"@army_shiba For the second time. ❤️‍🔥

#Kendu will be the first $100B Meme coin. 💯🔥

Nobody is ready for @KenduInu is about to do. There is no amount of #Bullish feelings that can describe Kendu. 🪖🍸
#shib #Pepe 

Kendu is going to make History 📝 https://t.co/4GjNRJvVds",Wed Jul 31 17:34:13 +0000 2024,48,138
34,BONE SHIBASWAP.,"The growth potential of $BONE is tied to several factors:

Ecosystem Development: The expansion of Shiba Inu and ShibaSwap can increase demand for BONE. 📈

Adoption and Utility: New features and applications can boost its value. 🚀 @_RichardTeng @binance
#Shib #BONE #ShibaSwap https://t.co/ht7LP2KUh9",Wed Jul 31 17:29:10 +0000 2024,43,150
35,Lola,Good Morning #SHIB 😍,Wed Jul 31 16:58:58 +0000 2024,11,129
36,U.Today,"$XRP rallied 60,000% last time this happened, here's how many $SHIB U.S. government holds, #Ethereum ICO wallet moves millions in $ETH: Crypto news digest by https://t.co/jsqU2ZIkVi #XRP #XRPArmy #XRPcommunity #SHIB #ShibaInu #SHIBArmy #ETH https://t.co/gSQhGPbZMM",Wed Jul 31 16:13:48 +0000 2024,21,133
37,Lola,"#SHIB 1.3 Trillion Shiba Inu (SHIB) in 24 Hours: What's Happening? 👇

POV : Whales back looking for FOMC Fed rate cut ? Let's check back later . 
I hope we can move higher today 

https://t.co/J1PqbCsyxh",Wed Jul 31 15:52:21 +0000 2024,93,377
38,SHIB Mortal,"$SHIB Will Make You A Millionaire!💵
I am confident #SHIB is going to $0.01 Do you agree?🔥🤑 #ShibaInu #Crypto https://t.co/J5WOmInc3A",Wed Jul 31 13:49:46 +0000 2024,70,410
39,🎯 Crypto Gems Sniper 🎯,"Which #memecoin will lead the upcoming bullrun?  

  #BabyDoge OR $PEPE OR #SHIB OR $NAP OR  $DUKO OR #BOME OR $PORK OR $BONE OR #VOLT OR #FLOKI OR $HONK OR $DOGE OR #GROK https://t.co/WGNzWT0TJz",Wed Jul 31 13:28:05 +0000 2024,47,177
40,$SHIB KNIGHT,Shiba Inu P2E Game to Increase #SHIB #Burns: Team Explains How https://t.co/yYNXVZueLe,Wed Jul 31 11:27:42 +0000 2024,38,238
41,PabloCRO,"Where  you at @JLo ??? 😏
#MSI #SHIB #crypto https://t.co/mtsG0Iyriv",Wed Jul 31 09:50:56 +0000 2024,58,137
42,Bull.TRX,"So basically, $Niero Eth is twice the size of Niero Sol. 
Eth degens are turely built differently. 
Missed #Doge?
Missed #SHIB
This cycle #Neiro? https://t.co/5Q3QAgE1nZ",Wed Jul 31 07:11:53 +0000 2024,33,171
43,Lola,"#SHIB TronWeekly : Shiba Inu Set for August Surge Rally: 3.36% Median Suggests Bullish Outcome 👇

POV : Some people are anticipating a surprise FED Tax rate cute tomorrow . If it happens , the FOMO will kick in IMO but the market is bullish in charts 

https://t.co/yZmhq0sC4j",Wed Jul 31 06:55:22 +0000 2024,48,233
44,TheCryptoBasic,"#ShibaInu P2E Game to Increase #SHIB Burns: Team Explains How #ShibaEternity 
https://t.co/nsIN6oFgzC",Wed Jul 31 06:34:36 +0000 2024,32,166
45,TheCryptoBasic,"Analyst @JavonTM1 Says #ShibaInu Uptrend Confirmed with Likely 830% Surge to $0.000155 to Follow #SHIB #SHIBCommunity 
https://t.co/nlXx9svWo2",Wed Jul 31 05:20:00 +0000 2024,28,158
46,CRYPTO SHIB,The Biggest $SHIB Green Candle Is Coming Just Wait And Watch #SHIB Dreamer ⏰🚀 Let's Go #SHIBARMY 🚀 https://t.co/lO7OBjQ5ap,Tue Jul 30 21:05:45 +0000 2024,41,252
47,Lola,"#SHIB Key Shiba Inu Metrics Skyrocket Today: SHIB Price Rally Incoming?

POV : Market analysis article but always take some salt while reading it 

https://t.co/965s2wJ8xv",Tue Jul 30 16:55:28 +0000 2024,73,325
48,SHIB Mortal,"Here’s How Much #ShibaInu You Need to Make $1M, $5M, $10M if #SHIB Achieves Kusama $1T Market Cap Prediction. #CryptoNews

Source: THE CRYPTO BASIC https://t.co/Uusyn0sCzM",Tue Jul 30 14:03:43 +0000 2024,21,193
49,RagnarShib.eth,"Shiba Inu ($SHIB) isn't just a meme token; it's a community-driven revolution in decentralized finance. Join the Shib Army and help shape the future of crypto! 🚀 #ShibaInu #SHIB 

https://t.co/AzYjOv1DEz https://t.co/2zFVL2aj2x",Tue Jul 30 12:56:22 +0000 2024,48,149
50,TheCryptoBasic,"Expert Highlights #ShibaInu and 9 Altcoins Poised for 100x Surge #SHIB #SHIBCommunity 
https://t.co/ukv9trxOAj",Tue Jul 30 12:27:28 +0000 2024,32,168
51,CRYPTO SHIB,"Are you guys noticing $SHIB to one cent is #Trending more than ever 🚀🚀🚀🚀🚀🚀
#1centdream #shibaArmy #SHIB #ShibaInu #shiba #SHIBARMY #SHIBARMYSTRONG https://t.co/q1LwBZpalU",Tue Jul 30 12:02:19 +0000 2024,65,338
52,CRYPTO SHIB,"This Year We Are $SHIB Going To See A Big Bull Run 🦬🚀 
#shibaArmy #SHIB #ShibaInu #shiba
#SHIBARMY #SHIBARMYSTRONG 🦬 https://t.co/GlThHQFrAt",Tue Jul 30 10:14:12 +0000 2024,39,232
53,Shiba Arab army™,"GM #SHIBARMY,

everyone. Every day we grow, and this is a good thing. Remember, this is the only solution to burn #SHIB  nothing else. Help the community with the burn through the petition. 💪

🔗 https://t.co/ANJKuNSkft ✍️ 

#shib #shibaarab_army #shibarmy #SHIBARMYSTRONG https://t.co/pm7kaQgX3O",Tue Jul 30 09:59:00 +0000 2024,59,172
54,Nikkii SaitaChain Kingdom,"$STC partnered with @gotbit_io 

If you don’t know about GotBit, here’s info description of them from LinkedIn👇

#STC #SaitaChain #SaitaChainCoin #Crypto #BNB #Solana #PEPE #SHIB https://t.co/GghWo4GjdD",Tue Jul 30 07:02:33 +0000 2024,51,129
55,TheCryptoBasic,"#ShibaInu Launches #ShibaEternity Web3 Version, Reveals How Players Can Gain Exclusive Access to Beta Testing #SHIB
https://t.co/7NcJdrWSfn",Tue Jul 30 06:34:29 +0000 2024,39,135
56,Lola,"#SHIB FBI pings #WazirX for info on the HACK 👇

POV : The US Government have SHIB so you know - they are protective of their ASSET that went down in value because of this. Let's hope FBI can get SHIB back for our Indian #SHIBARMY 🙏 #WazirXHack 

https://t.co/9d5lzfq104",Tue Jul 30 05:19:27 +0000 2024,74,264
